Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Jim Clark,CLA,Lotus Ford,108,2:03:13.200,9
2,6,Graham Hill,HIL,Lotus Ford,108,+6.300s,6
3,2,Denny Hulme,HUL,Brabham Repco,107,+1 lap,4
4,15,Jo Siffert,SIF,Cooper Maserati,106,+2 laps,3
5,1,Jack Brabham,BRA,Brabham Repco,104,+4 laps,2
6,16,Jo Bonnier,BON,Cooper Maserati,101,+7 laps,1
7,22,Jean-Pierre Beltoise,BEL,Matra Ford,101,+7 laps,0
NC,3,John Surtees,SUR,Honda,96,DNF,0
NC,9,Chris Amon,AMO,Ferrari,95,DNF,0
NC,7,Jackie Stewart,STE,BRM,72,DNF,0
NC,21,Jacky Ickx,ICK,Cooper Maserati,45,DNF,0
NC,19,Guy Ligier,LIG,Brabham Repco,43,DNF,0
NC,17,Chris Irwin,IRW,BRM,41,DNF,0
NC,8,Mike Spence,SPE,BRM,35,DNF,0
NC,4,Jochen Rindt,RIN,Cooper Maserati,33,DNF,0
NC,11,Dan Gurney,GUR,Eagle Weslake,24,DNF,0
NC,14,Bruce McLaren,MCL,McLaren BRM,16,DNF,0
NC,18,Moises Solana,SOL,Lotus Ford,7,DNF,0
