Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,14,John Surtees,SUR,Honda,68,1:43:45.000,9
2,16,Jack Brabham,BRA,Brabham Repco,68,+0.200s,6
3,20,Jim Clark,CLA,Lotus Ford,68,+23.100s,4
4,30,Jochen Rindt,RIN,Cooper Maserati,68,+56.600s,3
5,36,Mike Spence,SPE,BRM,67,+1 lap,2
6,32,Jacky Ickx,ICK,Cooper Maserati,66,+2 laps,1
7,2,Chris Amon,AMO,Ferrari,64,+4 laps,0
NC,22,Graham Hill,HIL,Lotus Ford,58,DNF,0
NC,24,Giancarlo Baghetti,BAG,Lotus Ford,50,DNF,0
NC,6,Jo Siffert,SIF,Cooper Maserati,50,DNF,0
NC,4,Bruce McLaren,MCL,McLaren BRM,46,DNF,0
NC,26,Jo Bonnier,BON,Cooper Maserati,46,DNF,0
NC,34,Jackie Stewart,STE,BRM,45,DNF,0
NC,18,Denny Hulme,HUL,Brabham Repco,30,DNF,0
NC,12,Guy Ligier,LIG,Brabham Repco,26,DNF,0
NC,38,Chris Irwin,IRW,BRM,16,DNF,0
NC,10,Ludovico Scarfiotti,SCA,Eagle Weslake,5,DNF,0
NC,8,Dan Gurney,GUR,Eagle Weslake,4,DNF,0
