Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,02 Jan 1967,Pedro Rodriguez,ROD,Cooper Maserati,80,2:05:45.900
monaco,07 May 1967,Denny Hulme,HUL,Brabham Repco,100,2:34:34.300
netherlands,04 Jun 1967,Jim Clark,CLA,Lotus Ford,90,2:14:45.100
belgium,18 Jun 1967,Dan Gurney,GUR,Eagle Weslake,28,1:40:49.400
france,02 Jul 1967,Jack Brabham,BRA,Brabham Repco,80,2:13:21.300
great-britain,15 Jul 1967,Jim Clark,CLA,Lotus Ford,80,1:59:25.600
germany,06 Aug 1967,Denny Hulme,HUL,Brabham Repco,15,2:05:55.700
canada,27 Aug 1967,Jack Brabham,BRA,Brabham Repco,90,2:40:40.000
italy,10 Sep 1967,John Surtees,SUR,Honda,68,1:43:45.000
united-states,01 Oct 1967,Jim Clark,CLA,Lotus Ford,108,2:03:13.200
mexico,22 Oct 1967,Jim Clark,CLA,Lotus Ford,65,1:59:28.700
