Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,14,Stirling Moss,MOS,Cooper Climax,80,2:19:33.700,8
2,16,Luigi Musso,MUS,Ferrari,80,+2.700s,6
3,20,Mike Hawthorn,HAW,Ferrari,80,+12.600s,4
4,2,Juan Manuel Fangio,FAN,Maserati,80,+53.000s,4
5,4,Jean Behra,BEH,Maserati,78,+2 laps,2
6,8,Harry Schell,SCH,Maserati,77,+3 laps,0
7,6,Carlos Menditeguy,MEN,Maserati,76,+4 laps,0
8,10,Paco Godia,GOD,Maserati,75,+5 laps,0
9,12,Horace Gould,GOU,Maserati,71,+9 laps,0
NC,18,Peter Collins,COL,Ferrari,0,DNF,0
