Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,4,Mike Hawthorn,HAW,Ferrari,50.0,2:03:21.300,9
2,8,Stirling Moss,MOS,Vanwall,50.0,+24.600s,6
3,6,Wolfgang von Trips,VON,Ferrari,50.0,+59.700s,4
4,34,Juan Manuel Fangio,FAN,Maserati,50.0,+150.600s,3
5,42,Peter Collins,COL,Ferrari,50.0,+324.900s,2
6,22,Jack Brabham,BRA,Cooper Climax,49.0,+1 lap,0
7,36,Phil Hill,HIL,Maserati,49.0,+1 lap,0
8,38,Jo Bonnier,BON,Maserati,48.0,+2 laps,0
9,32,Gerino Gerini,GER,Maserati,47.0,+3 laps,0
10,30,Troy Ruttman,RUT,Maserati,45.0,+5 laps,0
NC,14,Jean Behra,BEH,BRM,41.0,DNF,0
NC,16,Harry Schell,SCH,BRM,41.0,DNF,0
11,20,Roy Salvadori,SAL,Cooper Climax,37.0,+13 laps,0
NC,12,Stuart Lewis-Evans,LEW,Vanwall,,SHC,0
NC,12,Tony Brooks,BRO,Vanwall,35.0,DNF,0
NC,24,Graham Hill,HIL,Lotus Climax,33.0,DNF,0
NC,40,Paco Godia,GOD,Maserati,28.0,DNF,0
NC,18,Maurice Trintignant,TRI,BRM,23.0,DNF,0
NC,10,Tony Brooks,BRO,Vanwall,16.0,DNF,0
NC,28,Carroll Shelby,SHE,Maserati,9.0,DNF,0
NC,2,Luigi Musso,MUS,Ferrari,9.0,DNF,0
NC,26,Cliff Allison,ALL,Lotus Climax,6.0,DNF,0
