Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,19 Jan 1958,Stirling Moss,MOS,Cooper Climax,80,2:19:33.700
monaco,18 May 1958,Maurice Trintignant,TRI,Cooper Climax,100,2:52:27.900
netherlands,26 May 1958,Stirling Moss,MOS,Vanwall,75,2:04:49.200
indianapolis-500,30 May 1958,Jimmy Bryan,BRY,Epperly Offenhauser,200,3:44:13.800
belgium,15 Jun 1958,Tony Brooks,BRO,Vanwall,24,1:37:06.300
france,06 Jul 1958,Mike Hawthorn,HAW,Ferrari,50,2:03:21.300
great-britain,19 Jul 1958,Peter Collins,COL,Ferrari,75,2:09:04.200
germany,03 Aug 1958,Tony Brooks,BRO,Vanwall,15,2:21:15.000
portugal,24 Aug 1958,Stirling Moss,MOS,Vanwall,50,2:11:27.800
italy,07 Sep 1958,Tony Brooks,BRO,Vanwall,70,2:03:47.800
morocco,19 Oct 1958,Stirling Moss,MOS,Vanwall,53,2:09:15.100
