Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,50,2:06:15.118,26
2,33,Max Verstappen,VER,Red Bull Racing Honda,50,+21.825s,18
3,77,Valtteri Bottas,BOT,Mercedes,50,+27.531s,15
4,31,Esteban Ocon,OCO,Alpine Renault,50,+27.633s,12
5,3,Daniel Ricciardo,RIC,McLaren Mercedes,50,+40.121s,10
6,10,Pierre Gasly,GAS,AlphaTauri Honda,50,+41.613s,8
7,16,Charles Leclerc,LEC,Ferrari,50,+44.475s,6
8,55,Carlos Sainz,SAI,Ferrari,50,+46.606s,4
9,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,50,+58.505s,2
10,4,Lando Norris,NOR,McLaren Mercedes,50,+61.358s,1
11,18,Lance Stroll,STR,Aston Martin Mercedes,50,+77.212s,0
12,6,Nicholas Latifi,LAT,Williams Mercedes,50,+83.249s,0
13,14,Fernando Alonso,ALO,Alpine Renault,49,+1 lap,0
14,22,Yuki Tsunoda,TSU,AlphaTauri Honda,49,+1 lap,0
15,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,49,+1 lap,0
NC,5,Sebastian Vettel,VET,Aston Martin Mercedes,44,DNF,0
NC,11,Sergio Perez,PER,Red Bull Racing Honda,14,DNF,0
NC,9,Nikita Mazepin,MAZ,Haas Ferrari,14,DNF,0
NC,63,George Russell,RUS,Williams Mercedes,14,DNF,0
NC,47,Mick Schumacher,MSC,Haas Ferrari,8,DNF,0
