Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
Bahrain,28 Mar 2021,Lewis Hamilton,HAM,Mercedes,56,1:32:03.897
Emilia Romagna,18 Apr 2021,Max Verstappen,VER,Red Bull Racing Honda,63,2:02:34.598
Portugal,02 May 2021,Lewis Hamilton,HAM,Mercedes,66,1:34:31.421
Spain,09 May 2021,Lewis Hamilton,HAM,Mercedes,66,1:33:07.680
Monaco,23 May 2021,Max Verstappen,VER,Red Bull Racing Honda,78,1:38:56.820
Azerbaijan,06 Jun 2021,Sergio Perez,PER,Red Bull Racing Honda,51,2:13:36.410
France,20 Jun 2021,Max Verstappen,VER,Red Bull Racing Honda,53,1:27:25.770
Styria,27 Jun 2021,Max Verstappen,VER,Red Bull Racing Honda,71,1:22:18.925
Austria,04 Jul 2021,Max Verstappen,VER,Red Bull Racing Honda,71,1:23:54.543
Great Britain,18 Jul 2021,Lewis Hamilton,HAM,Mercedes,52,1:58:23.284
Hungary,01 Aug 2021,Esteban Ocon,OCO,Alpine Renault,70,2:04:43.199
Belgium,29 Aug 2021,Max Verstappen,VER,Red Bull Racing Honda,1,0:03:27.071
Netherlands,05 Sep 2021,Max Verstappen,VER,Red Bull Racing Honda,72,1:30:05.395
Italy,12 Sep 2021,Daniel Ricciardo,RIC,McLaren Mercedes,53,1:21:54.365
Russia,26 Sep 2021,Lewis Hamilton,HAM,Mercedes,53,1:30:41.001
Turkey,10 Oct 2021,Valtteri Bottas,BOT,Mercedes,58,1:31:04.103
United States,24 Oct 2021,Max Verstappen,VER,Red Bull Racing Honda,56,1:34:36.552
Mexico,07 Nov 2021,Max Verstappen,VER,Red Bull Racing Honda,71,1:38:39.086
Brazil,14 Nov 2021,Lewis Hamilton,HAM,Mercedes,71,1:32:22.851
Qatar,21 Nov 2021,Lewis Hamilton,HAM,Mercedes,57,1:24:28.471
Saudi Arabia,05 Dec 2021,Lewis Hamilton,HAM,Mercedes,50,2:06:15.118
Abu Dhabi,12 Dec 2021,Max Verstappen,VER,Red Bull Racing Honda,58,1:30:17.345
