Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,53,1:30:41.001,25
2,33,Max Verstappen,VER,Red Bull Racing Honda,53,+53.271s,18
3,55,Carlos Sainz,SAI,Ferrari,53,+62.475s,15
4,3,Daniel Ricciardo,RIC,McLaren Mercedes,53,+65.607s,12
5,77,Valtteri Bottas,BOT,Mercedes,53,+67.533s,10
6,14,Fernando Alonso,ALO,Alpine Renault,53,+81.321s,8
7,4,Lando Norris,NOR,McLaren Mercedes,53,+87.224s,7
8,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,53,+88.955s,4
9,11,Sergio Perez,PER,Red Bull Racing Honda,53,+90.076s,2
10,63,George Russell,RUS,Williams Mercedes,53,+100.551s,1
11,18,Lance Stroll,STR,Aston Martin Mercedes,53,+116.198s,0
12,5,Sebastian Vettel,VET,Aston Martin Mercedes,52,+1 lap,0
13,10,Pierre Gasly,GAS,AlphaTauri Honda,52,+1 lap,0
14,31,Esteban Ocon,OCO,Alpine Renault,52,+1 lap,0
15,16,Charles Leclerc,LEC,Ferrari,52,+1 lap,0
16,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,52,+1 lap,0
17,22,Yuki Tsunoda,TSU,AlphaTauri Honda,52,+1 lap,0
18,9,Nikita Mazepin,MAZ,Haas Ferrari,51,+2 laps,0
19,6,Nicholas Latifi,LAT,Williams Mercedes,47,DNF,0
NC,47,Mick Schumacher,MSC,Haas Ferrari,32,DNF,0
