Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,57,1:34:21.295,25
2,77,Valtteri Bottas,BOT,Mercedes,57,+2.980s,18
3,16,Charles Leclerc,LEC,Ferrari,57,+6.131s,16
4,33,Max Verstappen,VER,Red Bull Racing Honda,57,+6.408s,12
5,5,Sebastian Vettel,VET,Ferrari,57,+36.068s,10
6,4,Lando Norris,NOR,McLaren Renault,57,+45.754s,8
7,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,57,+47.470s,6
8,10,Pierre Gasly,GAS,Red Bull Racing Honda,57,+58.094s,4
9,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,57,+62.697s,2
10,11,Sergio Perez,PER,Racing Point BWT Mercedes,57,+63.696s,1
11,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,57,+64.599s,0
12,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,56,+1 lap,0
13,20,Kevin Magnussen,MAG,Haas Ferrari,56,+1 lap,0
14,18,Lance Stroll,STR,Racing Point BWT Mercedes,56,+1 lap,0
15,63,George Russell,RUS,Williams Mercedes,56,+1 lap,0
16,88,Robert Kubica,KUB,Williams Mercedes,55,+2 laps,0
17,27,Nico Hulkenberg,HUL,Renault,53,DNF,0
18,3,Daniel Ricciardo,RIC,Renault,53,DNF,0
19,55,Carlos Sainz,SAI,McLaren Renault,53,DNF,0
NC,8,Romain Grosjean,GRO,Haas Ferrari,16,DNF,0
