Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,12 Jan 1975,Emerson Fittipaldi,FIT,McLaren Ford,53,1:39:26.290
brazil,26 Jan 1975,Carlos Pace,PAC,Brabham Ford,40,1:44:41.170
south-africa,01 Mar 1975,Jody Scheckter,SCH,Tyrrell Ford,78,1:43:16.900
spain,27 Apr 1975,Jochen Mass,MAS,McLaren Ford,29,42:53.700
monaco,11 May 1975,Niki Lauda,LAU,Ferrari,75,2:01:21.310
belgium,25 May 1975,Niki Lauda,LAU,Ferrari,70,1:43:53.980
sweden,08 Jun 1975,Niki Lauda,LAU,Ferrari,80,1:59:18.319
netherlands,22 Jun 1975,James Hunt,HUN,Hesketh Ford,75,1:46:57.400
france,06 Jul 1975,Niki Lauda,LAU,Ferrari,54,1:40:18.840
great-britain,19 Jul 1975,Emerson Fittipaldi,FIT,McLaren Ford,56,1:22:05.000
germany,03 Aug 1975,Carlos Reutemann,REU,Brabham Ford,14,1:41:14.100
austria,17 Aug 1975,Vittorio Brambilla,BRA,March Ford,29,57:56.690
italy,07 Sep 1975,Clay Regazzoni,REG,Ferrari,52,1:22:42.600
united-states,05 Oct 1975,Niki Lauda,LAU,Ferrari,59,1:42:58.175
