Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:37.360
2,6,Riccardo Patrese,PAT,Williams Renault,1:38.219
3,1,Ayrton Senna,SEN,McLaren Honda,1:38.375
4,2,Gerhard Berger,BER,McLaren Honda,1:40.296
5,19,Michael Schumacher,MSC,Benetton Ford,1:40.922
6,12,Johnny Herbert,HER,Lotus Ford,1:41.030
7,11,Mika Hakkinen,HAK,Lotus Ford,1:41.415
8,26,Erik Comas,COM,Ligier Renault,1:42.187
9,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:42.361
10,25,Thierry Boutsen,BOU,Ligier Renault,1:42.428
11,28,Nicola Larini,LAR,Ferrari,1:42.488
12,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:42.617
13,20,Martin Brundle,BRU,Benetton Ford,1:42.626
14,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:42.627
15,27,Jean Alesi,ALE,Ferrari,1:42.824
16,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:43.029
17,32,Stefano Modena,MOD,Jordan Yamaha,1:43.117
18,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:43.156
19,22,Pierluigi Martini,MAR,Dallara Ferrari,1:43.251
20,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:43.488
21,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:43.941
22,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:44.037
23,16,Jan Lammers,LAM,March Ilmor,1:44.075
24,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:44.149
25,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:44.253
26,17,Emanuele Naspetti,NAS,March Ilmor,1:47.303
