Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:16.346
2,6,Riccardo Patrese,PAT,Williams Renault,1:16.362
3,19,Michael Schumacher,MSC,Benetton Ford,1:17.292
4,20,Martin Brundle,BRU,Benetton Ford,1:18.588
5,2,Gerhard Berger,BER,McLaren Honda,1:18.589
6,1,Ayrton Senna,SEN,McLaren Honda,1:18.791
7,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:19.111
8,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:19.355
9,22,Pierluigi Martini,MAR,Dallara Ferrari,1:19.378
10,27,Jean Alesi,ALE,Ferrari,1:19.417
11,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:19.423
12,12,Johnny Herbert,HER,Lotus Ford,1:19.509
13,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:19.743
14,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:19.769
15,32,Stefano Modena,MOD,Jordan Yamaha,1:19.957
16,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:19.961
17,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:20.042
18,11,Mika Hakkinen,HAK,Lotus Ford,1:20.145
19,16,Karl Wendlinger,WEN,March Ilmor,1:20.200
20,28,Ivan Capelli,CAP,Ferrari,1:20.223
21,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:20.227
22,25,Thierry Boutsen,BOU,Ligier Renault,1:20.395
23,14,Andrea Chiesa,CHI,Fondmetal Ford,1:20.845
24,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:20.935
25,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:21.064
26,26,Erik Comas,COM,Ligier Renault,1:21.122
27,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:21.187
28,17,Paul Belmondo,BEL,March Ilmor,1:21.504
29,7,Eric van de Poele,VAN,Brabham Judd,1:22.197
30,8,Giovanna Amati,AMA,Brabham Judd,1:25.052
