Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:15.703
2,6,Riccardo Patrese,PAT,Williams Renault,1:16.894
3,1,Ayrton Senna,SEN,McLaren Honda,1:17.902
4,2,Gerhard Berger,BER,McLaren Honda,1:18.416
5,19,Michael Schumacher,MSC,Benetton Ford,1:18.541
5,34,Roberto Moreno,MOR,Moda Judd,1:38.569
6,27,Jean Alesi,ALE,Ferrari,1:18.647
7,20,Martin Brundle,BRU,Benetton Ford,1:18.711
8,22,Pierluigi Martini,MAR,Dallara Ferrari,1:18.953
9,16,Karl Wendlinger,WEN,March Ilmor,1:19.007
10,25,Thierry Boutsen,BOU,Ligier Renault,1:19.038
11,28,Ivan Capelli,CAP,Ferrari,1:19.300
12,32,Stefano Modena,MOD,Jordan Yamaha,1:19.314
13,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:19.343
14,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:19.533
15,26,Erik Comas,COM,Ligier Renault,1:19.537
16,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:19.834
17,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:19.849
18,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:19.927
19,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:19.993
20,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:20.133
21,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:20.266
22,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:20.435
23,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:20.445
24,11,Mika Hakkinen,HAK,Lotus Ford,1:20.577
25,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:20.648
26,12,Johnny Herbert,HER,Lotus Ford,1:20.650
27,14,Andrea Chiesa,CHI,Fondmetal Ford,1:20.809
28,17,Paul Belmondo,BEL,March Ilmor,1:20.886
29,7,Eric van de Poele,VAN,Brabham Judd,1:21.770
30,8,Giovanna Amati,AMA,Brabham Judd,1:26.645
