Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:13.041
2,6,Riccardo Patrese,PAT,Williams Renault,1:13.672
3,1,Ayrton Senna,SEN,McLaren Honda,1:14.258
4,2,Gerhard Berger,BER,McLaren Honda,1:15.068
5,19,Michael Schumacher,MSC,Benetton Ford,1:15.356
6,20,Martin Brundle,BRU,Benetton Ford,1:16.084
7,11,Mika Hakkinen,HAK,Lotus Ford,1:16.173
8,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:16.282
9,12,Johnny Herbert,HER,Lotus Ford,1:16.628
10,27,Jean Alesi,ALE,Ferrari,1:16.884
11,25,Thierry Boutsen,BOU,Ligier Renault,1:16.930
12,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:17.240
13,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:17.250
14,26,Erik Comas,COM,Ligier Renault,1:17.264
15,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:17.277
16,28,Ivan Capelli,CAP,Ferrari,1:17.287
17,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:17.361
18,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:17.387
19,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:17.474
20,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:17.631
21,22,Pierluigi Martini,MAR,Dallara Ferrari,1:17.661
22,16,Karl Wendlinger,WEN,March Ilmor,1:18.060
23,17,Emanuele Naspetti,NAS,March Ilmor,1:18.092
24,32,Stefano Modena,MOD,Jordan Yamaha,1:18.318
25,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:18.592
26,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:18.615
