Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,6,Riccardo Patrese,PAT,Williams Renault,1:15.476
2,5,Nigel Mansell,MAN,Williams Renault,1:15.643
3,1,Ayrton Senna,SEN,McLaren Honda,1:16.267
4,19,Michael Schumacher,MSC,Benetton Ford,1:16.524
5,2,Gerhard Berger,BER,McLaren Honda,1:17.277
5,35,Perry McCarthy,MCC,Moda Judd,DNC
6,20,Martin Brundle,BRU,Benetton Ford,1:18.148
7,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:18.604
8,25,Thierry Boutsen,BOU,Ligier Renault,1:18.618
9,27,Jean Alesi,ALE,Ferrari,1:18.665
10,28,Ivan Capelli,CAP,Ferrari,1:18.765
11,26,Erik Comas,COM,Ligier Renault,1:18.902
12,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:19.123
13,12,Johnny Herbert,HER,Lotus Ford,1:19.143
14,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:19.200
15,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:19.365
16,11,Mika Hakkinen,HAK,Lotus Ford,1:19.587
17,17,Paul Belmondo,BEL,March Ilmor,1:19.626
18,14,Eric van de Poele,VAN,Fondmetal Ford,1:19.776
19,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:19.867
20,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:19.990
21,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:20.023
22,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:20.063
23,16,Karl Wendlinger,WEN,March Ilmor,1:20.315
24,32,Stefano Modena,MOD,Jordan Yamaha,1:20.707
25,8,Damon Hill,HIL,Brabham Judd,1:20.781
26,22,Pierluigi Martini,MAR,Dallara Ferrari,1:20.988
27,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:21.246
28,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:21.288
29,23,Alessandro Zanardi,ZAN,Minardi Lamborghini,1:21.756
30,34,Roberto Moreno,MOR,Moda Judd,1:22.286
