Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:20.190
2,19,Michael Schumacher,MSC,Benetton Ford,1:21.195
3,1,Ayrton Senna,SEN,McLaren Honda,1:21.209
4,6,Riccardo Patrese,PAT,Williams Renault,1:21.534
5,28,Ivan Capelli,CAP,Ferrari,1:22.413
5,34,Roberto Moreno,MOR,Moda Judd,1:37.155
6,20,Martin Brundle,BRU,Benetton Ford,1:22.529
7,2,Gerhard Berger,BER,McLaren Honda,1:22.711
8,27,Jean Alesi,ALE,Ferrari,1:22.746
9,16,Karl Wendlinger,WEN,March Ilmor,1:23.121
10,26,Erik Comas,COM,Ligier Renault,1:23.593
11,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:23.723
12,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:24.054
13,22,Pierluigi Martini,MAR,Dallara Ferrari,1:24.236
14,25,Thierry Boutsen,BOU,Ligier Renault,1:24.583
15,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:24.608
16,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:24.634
17,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:24.671
18,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:24.800
19,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:24.940
20,14,Andrea Chiesa,CHI,Fondmetal Ford,1:24.963
21,11,Mika Hakkinen,HAK,Lotus Ford,1:25.202
22,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:25.315
23,17,Paul Belmondo,BEL,March Ilmor,1:25.467
24,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:25.700
25,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:25.786
26,12,Johnny Herbert,HER,Lotus Ford,1:25.786
27,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:25.932
28,7,Eric van de Poele,VAN,Brabham Judd,1:26.880
29,32,Stefano Modena,MOD,Jordan Yamaha,1:27.480
30,8,Damon Hill,HIL,Brabham Judd,1:27.763
