Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Renault,1:50.545
2,1,Ayrton Senna,SEN,McLaren Honda,1:52.743
3,19,Michael Schumacher,MSC,Benetton Ford,1:53.221
4,6,Riccardo Patrese,PAT,Williams Renault,1:53.557
5,27,Jean Alesi,ALE,Ferrari,1:54.438
6,2,Gerhard Berger,BER,McLaren Honda,1:54.642
7,25,Thierry Boutsen,BOU,Ligier Renault,1:54.654
8,11,Mika Hakkinen,HAK,Lotus Ford,1:54.812
9,20,Martin Brundle,BRU,Benetton Ford,1:54.973
10,12,Johnny Herbert,HER,Lotus Ford,1:55.027
11,15,Gabriele Tarquini,TAR,Fondmetal Ford,1:55.965
12,28,Ivan Capelli,CAP,Ferrari,1:56.075
13,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,1:56.111
14,9,Michele Alboreto,ALB,Footwork Mugen Honda,1:56.282
15,14,Eric van de Poele,VAN,Fondmetal Ford,1:56.674
16,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,1:56.809
17,32,Stefano Modena,MOD,Jordan Yamaha,1:56.889
18,16,Karl Wendlinger,WEN,March Ilmor,1:57.039
19,22,Pierluigi Martini,MAR,Dallara Ferrari,1:57.267
20,29,Bertrand Gachot,GAC,Venturi Lamborghini,1:57.330
21,17,Emanuele Naspetti,NAS,March Ilmor,1:57.794
22,3,Olivier Grouillard,GRO,Tyrrell Ilmor,1:57.818
23,24,Gianni Morbidelli,MOR,Minardi Lamborghini,1:58.126
24,33,Mauricio Gugelmin,GUG,Jordan Yamaha,1:58.499
25,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:58.826
26,30,Ukyo Katayama,KAT,Venturi Lamborghini,1:59.383
27,23,Christian Fittipaldi,FIT,Minardi Lamborghini,1:59.626
28,34,Roberto Moreno,MOR,Moda Judd,2:05.096
29,35,Perry McCarthy,MCC,Moda Judd,2:15.050
