Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:22.088,11
2,4,Eddie Irvine,IRV,Ferrari,1:22.219,12
3,2,David Coulthard,COU,McLaren Mercedes,1:22.244,11
4,3,Michael Schumacher,MSC,Ferrari,1:22.277,11
5,11,Jean Alesi,ALE,Sauber Petronas,1:22.388,9
6,22,Jacques Villeneuve,VIL,BAR Supertec,1:22.703,11
7,16,Rubens Barrichello,BAR,Stewart Ford,1:22.920,11
8,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:22.938,11
9,19,Jarno Trulli,TRU,Prost Peugeot,1:23.194,12
10,6,Ralf Schumacher,RSC,Williams Supertec,1:23.303,12
11,7,Damon Hill,HIL,Jordan Mugen Honda,1:23.317,12
12,12,Pedro Diniz,DIN,Sauber Petronas,1:23.331,12
13,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:23.333,12
14,17,Johnny Herbert,HER,Stewart Ford,1:23.505,11
15,18,Olivier Panis,PAN,Prost Peugeot,1:23.559,12
16,23,Mika Salo,SAL,BAR Supertec,1:23.683,12
17,5,Alessandro Zanardi,ZAN,Williams Supertec,1:23.703,12
18,10,Alexander Wurz,WUR,Benetton Playlife,1:23.824,11
19,14,Pedro de la Rosa,DLR,Arrows,1:24.619,12
20,15,Toranosuke Takagi,TAK,Arrows,1:25.280,11
21,21,Marc Gene,GEN,Minardi Ford,1:25.672,11
22,20,Luca Badoer,BAD,Minardi Ford,1:25.833,12
