Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:30.462,12
2,2,David Coulthard,COU,McLaren Mercedes,1:30.946,11
3,3,Michael Schumacher,MSC,Ferrari,1:31.781,11
4,16,Rubens Barrichello,BAR,Stewart Ford,1:32.148,12
5,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:32.276,11
6,4,Eddie Irvine,IRV,Ferrari,1:32.289,12
7,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:32.540,12
8,6,Ralf Schumacher,RSC,Williams Supertec,1:32.691,10
9,7,Damon Hill,HIL,Jordan Mugen Honda,1:32.695,12
10,10,Alexander Wurz,WUR,Benetton Playlife,1:32.789,12
11,22,Jacques Villeneuve,VIL,BAR Supertec,1:32.888,10
12,19,Jarno Trulli,TRU,Prost Peugeot,1:32.971,11
13,17,Johnny Herbert,HER,Stewart Ford,1:32.991,12
14,12,Pedro Diniz,DIN,Sauber Petronas,1:33.374,9
15,5,Alessandro Zanardi,ZAN,Williams Supertec,1:33.549,12
16,11,Jean Alesi,ALE,Sauber Petronas,1:33.910,10
17,15,Toranosuke Takagi,TAK,Arrows,1:34.182,12
18,14,Pedro de la Rosa,DLR,Arrows,1:34.244,12
19,23,Ricardo Zonta,ZON,BAR Supertec,1:34.412,11
20,18,Olivier Panis,PAN,Prost Peugeot,1:35.068,10
21,20,Luca Badoer,BAD,Minardi Ford,1:35.316,11
NC,21,Marc Gene,GEN,Minardi Ford,1:37.013,11
