Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:26.362,11
2,2,David Coulthard,COU,McLaren Mercedes,1:26.384,10
3,3,Michael Schumacher,MSC,Ferrari,1:26.538,12
4,4,Eddie Irvine,IRV,Ferrari,1:26.993,11
5,22,Jacques Villeneuve,VIL,BAR Supertec,1:27.313,12
6,16,Rubens Barrichello,BAR,Stewart Ford,1:27.409,11
7,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:27.613,10
8,7,Damon Hill,HIL,Jordan Mugen Honda,1:27.708,11
9,6,Ralf Schumacher,RSC,Williams Supertec,1:27.770,12
10,5,Alessandro Zanardi,ZAN,Williams Supertec,1:28.142,11
11,18,Olivier Panis,PAN,Prost Peugeot,1:28.205,12
12,17,Johnny Herbert,HER,Stewart Ford,1:28.246,11
13,11,Jean Alesi,ALE,Sauber Petronas,1:28.253,12
14,19,Jarno Trulli,TRU,Prost Peugeot,1:28.403,6
15,12,Pedro Diniz,DIN,Sauber Petronas,1:28.599,12
16,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:28.750,12
17,10,Alexander Wurz,WUR,Benetton Playlife,1:28.765,11
18,14,Pedro de la Rosa,DLR,Arrows,1:29.293,11
19,23,Mika Salo,SAL,BAR Supertec,1:29.451,7
20,15,Toranosuke Takagi,TAK,Arrows,1:29.656,12
21,21,Marc Gene,GEN,Minardi Ford,1:30.035,12
22,20,Luca Badoer,BAD,Minardi Ford,1:30.945,12
