Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:18.156,11
2,4,Eddie Irvine,IRV,Ferrari,1:18.263,11
3,2,David Coulthard,COU,McLaren Mercedes,1:18.384,12
4,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:18.515,11
5,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:18.664,12
6,7,Damon Hill,HIL,Jordan Mugen Honda,1:18.667,11
7,10,Alexander Wurz,WUR,Benetton Playlife,1:18.733,11
8,16,Rubens Barrichello,BAR,Stewart Ford,1:19.095,11
9,22,Jacques Villeneuve,VIL,BAR Supertec,1:19.127,11
10,17,Johnny Herbert,HER,Stewart Ford,1:19.389,11
11,11,Jean Alesi,ALE,Sauber Petronas,1:19.390,12
12,12,Pedro Diniz,DIN,Sauber Petronas,1:19.782,11
13,19,Jarno Trulli,TRU,Prost Peugeot,1:19.788,12
14,18,Olivier Panis,PAN,Prost Peugeot,1:19.841,12
15,5,Alessandro Zanardi,ZAN,Williams Supertec,1:19.924,11
16,6,Ralf Schumacher,RSC,Williams Supertec,1:19.945,12
17,23,Ricardo Zonta,ZON,BAR Supertec,1:20.060,12
18,3,Mika Salo,SAL,Ferrari,1:20.369,12
19,20,Luca Badoer,BAD,Minardi Ford,1:20.961,12
20,14,Pedro de la Rosa,DLR,Arrows,1:21.328,12
21,15,Toranosuke Takagi,TAK,Arrows,1:21.675,11
22,21,Marc Gene,GEN,Minardi Ford,1:21.867,12
