Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:50.329,8
2,2,David Coulthard,COU,McLaren Mercedes,1:50.484,9
3,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:51.332,10
4,7,Damon Hill,HIL,Jordan Mugen Honda,1:51.372,10
5,6,Ralf Schumacher,RSC,Williams Supertec,1:51.414,9
6,4,Eddie Irvine,IRV,Ferrari,1:51.895,12
7,16,Rubens Barrichello,BAR,Stewart Ford,1:51.974,11
8,5,Alessandro Zanardi,ZAN,Williams Supertec,1:52.014,12
9,3,Mika Salo,SAL,Ferrari,1:52.124,10
10,17,Johnny Herbert,HER,Stewart Ford,1:52.164,12
11,22,Jacques Villeneuve,VIL,BAR Supertec,1:52.235,8
12,19,Jarno Trulli,TRU,Prost Peugeot,1:52.644,11
13,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:52.762,12
14,23,Ricardo Zonta,ZON,BAR Supertec,1:52.840,8
15,10,Alexander Wurz,WUR,Benetton Playlife,1:52.847,11
16,11,Jean Alesi,ALE,Sauber Petronas,1:52.921,12
17,18,Olivier Panis,PAN,Prost Peugeot,1:53.148,12
18,12,Pedro Diniz,DIN,Sauber Petronas,1:53.778,10
19,15,Toranosuke Takagi,TAK,Arrows,1:54.099,11
20,20,Luca Badoer,BAD,Minardi Ford,1:54.197,11
21,21,Marc Gene,GEN,Minardi Ford,1:54.557,12
22,14,Pedro de la Rosa,DLR,Arrows,1:54.579,12
