Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:37.470,11
2,1,Mika Hakkinen,HAK,McLaren Mercedes,1:37.820,9
3,2,David Coulthard,COU,McLaren Mercedes,1:38.239,12
4,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:38.696,12
5,4,Eddie Irvine,IRV,Ferrari,1:38.975,11
6,18,Olivier Panis,PAN,Prost Peugeot,1:39.623,11
7,19,Jarno Trulli,TRU,Prost Peugeot,1:39.644,12
8,17,Johnny Herbert,HER,Stewart Ford,1:39.706,12
9,6,Ralf Schumacher,RSC,Williams Supertec,1:39.717,11
10,11,Jean Alesi,ALE,Sauber Petronas,1:39.721,10
11,22,Jacques Villeneuve,VIL,BAR Supertec,1:39.732,12
12,7,Damon Hill,HIL,Jordan Mugen Honda,1:40.140,12
13,16,Rubens Barrichello,BAR,Stewart Ford,1:40.140,11
14,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:40.261,10
15,10,Alexander Wurz,WUR,Benetton Playlife,1:40.303,12
16,5,Alessandro Zanardi,ZAN,Williams Supertec,1:40.403,12
17,12,Pedro Diniz,DIN,Sauber Petronas,1:40.740,11
18,23,Ricardo Zonta,ZON,BAR Supertec,1:40.861,11
19,15,Toranosuke Takagi,TAK,Arrows,1:41.067,11
20,21,Marc Gene,GEN,Minardi Ford,1:41.529,12
21,14,Pedro de la Rosa,DLR,Arrows,1:41.708,11
22,20,Luca Badoer,BAD,Minardi Ford,1:42.515,8
