Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:19.298,7
2,1,Mika Hakkinen,HAK,McLaren Mercedes,1:19.327,12
3,4,Eddie Irvine,IRV,Ferrari,1:19.440,11
4,2,David Coulthard,COU,McLaren Mercedes,1:19.729,11
5,16,Rubens Barrichello,BAR,Stewart Ford,1:19.930,11
6,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:20.158,12
7,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:20.378,7
8,11,Jean Alesi,ALE,Sauber Petronas,1:20.459,10
9,19,Jarno Trulli,TRU,Prost Peugeot,1:20.557,11
10,17,Johnny Herbert,HER,Stewart Ford,1:20.829,12
11,10,Alexander Wurz,WUR,Benetton Playlife,1:21.000,11
12,5,Alessandro Zanardi,ZAN,Williams Supertec,1:21.076,12
13,6,Ralf Schumacher,RSC,Williams Supertec,1:21.081,10
14,7,Damon Hill,HIL,Jordan Mugen Honda,1:21.094,12
15,18,Olivier Panis,PAN,Prost Peugeot,1:21.252,11
16,22,Jacques Villeneuve,VIL,BAR Supertec,1:21.302,11
17,23,Ricardo Zonta,ZON,BAR Supertec,1:21.467,12
18,12,Pedro Diniz,DIN,Sauber Petronas,1:21.571,12
19,15,Toranosuke Takagi,TAK,Arrows,1:21.693,11
20,14,Pedro de la Rosa,DLR,Arrows,1:22.613,12
21,20,Luca Badoer,BAD,Minardi Ford,1:22.808,12
22,21,Marc Gene,GEN,Minardi Ford,1:23.387,12
