Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:20.547,12
2,3,Michael Schumacher,MSC,Ferrari,1:20.611,11
3,2,David Coulthard,COU,McLaren Mercedes,1:20.956,12
4,4,Eddie Irvine,IRV,Ferrari,1:21.011,12
5,16,Rubens Barrichello,BAR,Stewart Ford,1:21.530,12
6,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:21.556,12
7,19,Jarno Trulli,TRU,Prost Peugeot,1:21.769,11
8,22,Jacques Villeneuve,VIL,BAR Supertec,1:21.827,12
9,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:21.938,11
10,10,Alexander Wurz,WUR,Benetton Playlife,1:21.968,12
11,5,Alessandro Zanardi,ZAN,Williams Supertec,1:22.152,12
12,23,Mika Salo,SAL,BAR Supertec,1:22.241,12
13,17,Johnny Herbert,HER,Stewart Ford,1:22.248,12
14,11,Jean Alesi,ALE,Sauber Petronas,1:22.354,12
15,12,Pedro Diniz,DIN,Sauber Petronas,1:22.659,12
16,6,Ralf Schumacher,RSC,Williams Supertec,1:22.719,11
17,7,Damon Hill,HIL,Jordan Mugen Honda,1:22.832,12
18,18,Olivier Panis,PAN,Prost Peugeot,1:22.916,12
19,15,Toranosuke Takagi,TAK,Arrows,1:23.290,11
20,20,Luca Badoer,BAD,Minardi Ford,1:23.765,12
21,14,Pedro de la Rosa,DLR,Arrows,1:24.260,12
22,21,Marc Gene,GEN,Minardi Ford,1:24.914,11
