Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:10.954,10
2,2,David Coulthard,COU,McLaren Mercedes,1:11.153,12
3,4,Eddie Irvine,IRV,Ferrari,1:11.973,12
4,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:12.266,12
5,16,Rubens Barrichello,BAR,Stewart Ford,1:12.342,12
6,17,Johnny Herbert,HER,Stewart Ford,1:12.488,12
7,3,Mika Salo,SAL,Ferrari,1:12.514,12
8,6,Ralf Schumacher,RSC,Williams Supertec,1:12.515,10
9,22,Jacques Villeneuve,VIL,BAR Supertec,1:12.833,11
10,10,Alexander Wurz,WUR,Benetton Playlife,1:12.850,12
11,7,Damon Hill,HIL,Jordan Mugen Honda,1:12.901,11
12,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:12.924,11
13,19,Jarno Trulli,TRU,Prost Peugeot,1:12.999,11
14,5,Alessandro Zanardi,ZAN,Williams Supertec,1:13.101,12
15,23,Ricardo Zonta,ZON,BAR Supertec,1:13.172,12
16,12,Pedro Diniz,DIN,Sauber Petronas,1:13.223,12
17,11,Jean Alesi,ALE,Sauber Petronas,1:13.226,11
18,18,Olivier Panis,PAN,Prost Peugeot,1:13.457,12
19,20,Luca Badoer,BAD,Minardi Ford,1:13.606,12
20,15,Toranosuke Takagi,TAK,Arrows,1:13.641,12
21,14,Pedro de la Rosa,DLR,Arrows,1:14.139,11
22,21,Marc Gene,GEN,Minardi Ford,1:14.363,10
