Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:19.910,9
2,2,David Coulthard,COU,McLaren Mercedes,1:20.176,12
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:20.376,12
4,6,Ralf Schumacher,RSC,Williams Supertec,1:20.444,12
5,18,Olivier Panis,PAN,Prost Peugeot,1:20.638,12
6,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:20.781,11
7,7,Damon Hill,HIL,Jordan Mugen Honda,1:20.818,11
8,22,Jacques Villeneuve,VIL,BAR Supertec,1:20.825,10
9,4,Eddie Irvine,IRV,Ferrari,1:20.842,11
10,19,Jarno Trulli,TRU,Prost Peugeot,1:20.965,12
11,10,Alexander Wurz,WUR,Benetton Playlife,1:21.144,12
12,3,Mika Salo,SAL,Ferrari,1:21.314,12
13,12,Pedro Diniz,DIN,Sauber Petronas,1:21.345,11
14,17,Johnny Herbert,HER,Stewart Ford,1:21.379,11
15,16,Rubens Barrichello,BAR,Stewart Ford,1:21.490,12
16,11,Jean Alesi,ALE,Sauber Petronas,1:21.634,11
17,23,Ricardo Zonta,ZON,BAR Supertec,1:22.267,10
18,5,Alessandro Zanardi,ZAN,Williams Supertec,1:22.284,12
19,20,Luca Badoer,BAD,Minardi Ford,1:22.631,11
20,21,Marc Gene,GEN,Minardi Ford,1:22.760,12
21,15,Toranosuke Takagi,TAK,Arrows,1:23.401,11
22,14,Pedro de la Rosa,DLR,Arrows,1:23.698,10
