Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:38.117,8
2,5,Ralf Schumacher,RSC,Williams BMW,1:38.136,12
3,3,Mika Hakkinen,HAK,McLaren Mercedes,1:38.811,10
4,1,Michael Schumacher,MSC,Ferrari,1:38.941,11
5,4,David Coulthard,COU,McLaren Mercedes,1:39.574,9
6,2,Rubens Barrichello,BAR,Ferrari,1:39.682,11
7,16,Nick Heidfeld,HEI,Sauber Petronas,1:39.921,12
8,17,Kimi Räikkönen,RAI,Sauber Petronas,1:40.072,12
9,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:40.265,12
10,12,Jarno Trulli,TRU,Jordan Honda,1:40.322,8
11,18,Eddie Irvine,IRV,Jaguar Cosworth,1:40.371,12
12,10,Jacques Villeneuve,VIL,BAR Honda,1:40.437,12
13,9,Olivier Panis,PAN,BAR Honda,1:40.610,11
14,22,Jean Alesi,ALE,Prost Acer,1:40.724,12
15,11,Ricardo Zonta,ZON,Jordan Honda,1:41.174,12
16,23,Luciano Burti,BUR,Prost Acer,1:41.213,11
17,7,Giancarlo Fisichella,FIS,Benetton Renault,1:41.299,12
18,8,Jenson Button,BUT,Benetton Renault,1:41.438,10
19,15,Enrique Bernoldi,BER,Arrows Asiatech,1:41.668,11
20,14,Jos Verstappen,VER,Arrows Asiatech,1:41.870,11
21,21,Fernando Alonso,ALO,Minardi European,1:41.913,12
22,20,Tarso Marques,MAR,Minardi European,1:42.716,11
