Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:26.892,10
2,2,Rubens Barrichello,BAR,Ferrari,1:27.263,11
3,3,Mika Hakkinen,HAK,McLaren Mercedes,1:27.461,12
4,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:27.658,10
5,5,Ralf Schumacher,RSC,Williams BMW,1:27.719,12
6,4,David Coulthard,COU,McLaren Mercedes,1:28.010,12
7,12,Jarno Trulli,TRU,Jordan Honda,1:28.377,11
8,10,Jacques Villeneuve,VIL,BAR Honda,1:28.435,11
9,9,Olivier Panis,PAN,BAR Honda,1:28.518,11
10,16,Nick Heidfeld,HEI,Sauber Petronas,1:28.615,11
11,6,Juan Pablo Montoya,MOY,Williams BMW,1:28.738,11
12,18,Eddie Irvine,IRV,Jaguar Cosworth,1:28.965,10
13,17,Kimi Räikkönen,RAI,Sauber Petronas,1:28.993,12
14,22,Jean Alesi,ALE,Prost Acer,1:29.893,11
15,14,Jos Verstappen,VER,Arrows Asiatech,1:29.934,11
16,8,Jenson Button,BUT,Benetton Renault,1:30.035,12
17,7,Giancarlo Fisichella,FIS,Benetton Renault,1:30.209,10
18,15,Enrique Bernoldi,BER,Arrows Asiatech,1:30.520,12
19,21,Fernando Alonso,ALO,Minardi European,1:30.657,12
20,23,Gaston Mazzacane,MAZ,Prost Acer,1:30.798,12
21,19,Luciano Burti,BUR,Jaguar Cosworth,1:30.978,7
NC,20,Tarso Marques,MAR,Minardi European,1:33.228,11
