Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:09.562,12
2,6,Juan Pablo Montoya,MOY,Williams BMW,1:09.686,12
3,5,Ralf Schumacher,RSC,Williams BMW,1:09.769,11
4,2,Rubens Barrichello,BAR,Ferrari,1:09.786,11
5,12,Jarno Trulli,TRU,Jordan Honda,1:10.202,11
6,16,Nick Heidfeld,HEI,Sauber Petronas,1:10.211,12
7,4,David Coulthard,COU,McLaren Mercedes,1:10.331,12
8,3,Mika Hakkinen,HAK,McLaren Mercedes,1:10.342,11
9,17,Kimi Räikkönen,RAI,Sauber Petronas,1:10.396,12
10,9,Olivier Panis,PAN,BAR Honda,1:10.435,12
11,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:10.923,11
12,10,Jacques Villeneuve,VIL,BAR Honda,1:11.058,11
13,18,Eddie Irvine,IRV,Jaguar Cosworth,1:11.632,12
14,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:11.752,12
15,15,Enrique Bernoldi,BER,Arrows Asiatech,1:11.823,12
16,14,Jos Verstappen,VER,Arrows Asiatech,1:12.187,11
17,23,Luciano Burti,BUR,Prost Acer,1:12.206,12
18,21,Fernando Alonso,ALO,Minardi European,1:12.640,12
19,7,Giancarlo Fisichella,FIS,Benetton Renault,1:12.644,8
20,22,Jean Alesi,ALE,Prost Acer,1:12.910,10
21,8,Jenson Button,BUT,Benetton Renault,1:13.459,11
22,20,Tarso Marques,MAR,Minardi European,1:13.585,5
