Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:14.059,6
2,4,David Coulthard,COU,McLaren Mercedes,1:14.860,11
3,2,Rubens Barrichello,BAR,Ferrari,1:14.953,11
4,5,Ralf Schumacher,RSC,Williams BMW,1:15.095,12
5,11,Jarno Trulli,TRU,Jordan Honda,1:15.394,10
6,3,Mika Hakkinen,HAK,McLaren Mercedes,1:15.411,11
7,16,Nick Heidfeld,HEI,Sauber Petronas,1:15.739,9
8,6,Juan Pablo Montoya,MOY,Williams BMW,1:15.881,11
9,17,Kimi Räikkönen,RAI,Sauber Petronas,1:15.906,12
10,10,Jacques Villeneuve,VIL,BAR Honda,1:16.212,11
11,9,Olivier Panis,PAN,BAR Honda,1:16.382,8
12,12,Jean Alesi,ALE,Jordan Honda,1:16.471,12
13,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:16.543,10
14,18,Eddie Irvine,IRV,Jaguar Cosworth,1:16.607,11
15,7,Giancarlo Fisichella,FIS,Benetton Renault,1:16.632,11
16,22,Heinz-Harald Frentzen,FRE,Prost Acer,1:17.196,12
17,8,Jenson Button,BUT,Benetton Renault,1:17.535,12
18,21,Fernando Alonso,ALO,Minardi European,1:17.624,11
19,23,Luciano Burti,BUR,Prost Acer,1:18.238,12
20,15,Enrique Bernoldi,BER,Arrows Asiatech,1:18.258,11
21,14,Jos Verstappen,VER,Arrows Asiatech,1:18.389,12
22,20,Tarso Marques,MAR,Minardi European,1:19.139,11
