Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:15.782,6
2,5,Ralf Schumacher,RSC,Williams BMW,1:16.297,8
3,4,David Coulthard,COU,McLaren Mercedes,1:16.423,12
4,12,Jarno Trulli,TRU,Jordan Honda,1:16.459,10
5,2,Rubens Barrichello,BAR,Ferrari,1:16.760,11
6,9,Olivier Panis,PAN,BAR Honda,1:16.771,10
7,17,Kimi Räikkönen,RAI,Sauber Petronas,1:16.875,11
8,3,Mika Hakkinen,HAK,McLaren Mercedes,1:16.979,12
9,10,Jacques Villeneuve,VIL,BAR Honda,1:17.035,11
10,6,Juan Pablo Montoya,MOY,Williams BMW,1:17.123,12
11,16,Nick Heidfeld,HEI,Sauber Petronas,1:17.165,11
12,11,Ricardo Zonta,ZON,Jordan Honda,1:17.328,11
13,14,Jos Verstappen,VER,Arrows Asiatech,1:17.903,10
14,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:18.015,12
15,18,Eddie Irvine,IRV,Jaguar Cosworth,1:18.016,12
16,22,Jean Alesi,ALE,Prost Acer,1:18.178,10
17,15,Enrique Bernoldi,BER,Arrows Asiatech,1:18.575,11
18,7,Giancarlo Fisichella,FIS,Benetton Renault,1:18.622,11
19,23,Luciano Burti,BUR,Prost Acer,1:18.753,11
20,8,Jenson Button,BUT,Benetton Renault,1:19.033,12
21,20,Tarso Marques,MAR,Minardi European,1:20.690,12
