Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:18.201,8
2,3,Mika Hakkinen,HAK,McLaren Mercedes,1:18.286,12
3,4,David Coulthard,COU,McLaren Mercedes,1:18.635,12
4,2,Rubens Barrichello,BAR,Ferrari,1:18.674,11
5,5,Ralf Schumacher,RSC,Williams BMW,1:19.016,12
6,12,Jarno Trulli,TRU,Jordan Honda,1:19.093,12
7,10,Jacques Villeneuve,VIL,BAR Honda,1:19.122,10
8,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:19.150,12
9,17,Kimi Räikkönen,RAI,Sauber Petronas,1:19.229,12
10,16,Nick Heidfeld,HEI,Sauber Petronas,1:19.232,11
11,9,Olivier Panis,PAN,BAR Honda,1:19.479,11
12,6,Juan Pablo Montoya,MOY,Williams BMW,1:19.660,11
13,18,Eddie Irvine,IRV,Jaguar Cosworth,1:20.326,12
14,23,Luciano Burti,BUR,Prost Acer,1:20.585,12
15,22,Jean Alesi,ALE,Prost Acer,1:20.601,12
16,15,Enrique Bernoldi,BER,Arrows Asiatech,1:20.696,12
17,14,Jos Verstappen,VER,Arrows Asiatech,1:20.737,11
18,21,Fernando Alonso,ALO,Minardi European,1:21.037,12
19,7,Giancarlo Fisichella,FIS,Benetton Renault,1:21.065,12
20,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:21.338,10
21,8,Jenson Button,BUT,Benetton Renault,1:21.916,11
22,20,Tarso Marques,MAR,Minardi European,1:22.522,12
