Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:52.072,7
2,5,Ralf Schumacher,RSC,Williams BMW,1:52.959,10
3,1,Michael Schumacher,MSC,Ferrari,1:54.685,8
4,22,Heinz-Harald Frentzen,FRE,Prost Acer,1:55.233,10
5,2,Rubens Barrichello,BAR,Ferrari,1:56.116,7
6,10,Jacques Villeneuve,VIL,BAR Honda,1:57.038,11
7,3,Mika Hakkinen,HAK,McLaren Mercedes,1:57.043,12
8,7,Giancarlo Fisichella,FIS,Benetton Renault,1:57.668,7
9,4,David Coulthard,COU,McLaren Mercedes,1:58.008,10
10,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:58.519,11
11,9,Olivier Panis,PAN,BAR Honda,1:58.838,8
12,17,Kimi Räikkönen,RAI,Sauber Petronas,1:59.050,8
13,12,Jean Alesi,ALE,Jordan Honda,1:59.128,10
14,16,Nick Heidfeld,HEI,Sauber Petronas,1:59.302,9
15,8,Jenson Button,BUT,Benetton Renault,1:59.587,7
16,11,Jarno Trulli,TRU,Jordan Honda,1:59.647,10
17,18,Eddie Irvine,IRV,Jaguar Cosworth,1:59.689,9
18,23,Luciano Burti,BUR,Prost Acer,1:59.900,7
19,14,Jos Verstappen,VER,Arrows Asiatech,2:02.039,10
20,21,Fernando Alonso,ALO,Minardi European,2:02.594,8
21,15,Enrique Bernoldi,BER,Arrows Asiatech,2:03.048,10
22,20,Tarso Marques,MAR,Minardi European,2:04.204,10
