Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:13.780,11
2,5,Ralf Schumacher,RSC,Williams BMW,1:14.090,12
3,3,Mika Hakkinen,HAK,McLaren Mercedes,1:14.122,10
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:14.165,11
5,4,David Coulthard,COU,McLaren Mercedes,1:14.178,11
6,2,Rubens Barrichello,BAR,Ferrari,1:14.191,11
7,12,Jarno Trulli,TRU,Jordan Honda,1:14.630,11
8,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:14.633,11
9,16,Nick Heidfeld,HEI,Sauber Petronas,1:14.810,12
10,17,Kimi Räikkönen,RAI,Sauber Petronas,1:14.924,11
11,9,Olivier Panis,PAN,BAR Honda,1:15.046,11
12,10,Jacques Villeneuve,VIL,BAR Honda,1:15.182,12
13,18,Eddie Irvine,IRV,Jaguar Cosworth,1:15.192,12
14,19,Luciano Burti,BUR,Jaguar Cosworth,1:15.371,12
15,22,Jean Alesi,ALE,Prost Acer,1:15.437,12
16,15,Enrique Bernoldi,BER,Arrows Asiatech,1:15.657,12
17,14,Jos Verstappen,VER,Arrows Asiatech,1:15.704,12
18,7,Giancarlo Fisichella,FIS,Benetton Renault,1:16.175,12
19,21,Fernando Alonso,ALO,Minardi European,1:16.184,12
20,8,Jenson Button,BUT,Benetton Renault,1:16.229,12
21,23,Gaston Mazzacane,MAZ,Prost Acer,1:16.520,12
22,20,Tarso Marques,MAR,Minardi European,1:16.784,12
