Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Ralf Schumacher,RSC,Williams BMW,1:12.989,10
2,1,Michael Schumacher,MSC,Ferrari,1:12.999,12
3,4,David Coulthard,COU,McLaren Mercedes,1:13.186,12
4,3,Mika Hakkinen,HAK,McLaren Mercedes,1:13.268,12
5,12,Jarno Trulli,TRU,Jordan Honda,1:13.310,12
6,6,Juan Pablo Montoya,MOY,Williams BMW,1:13.625,12
7,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:13.815,11
8,2,Rubens Barrichello,BAR,Ferrari,1:13.867,11
9,16,Nick Heidfeld,HEI,Sauber Petronas,1:14.095,12
10,10,Jacques Villeneuve,VIL,BAR Honda,1:14.096,12
11,9,Olivier Panis,PAN,BAR Honda,1:14.181,12
12,18,Eddie Irvine,IRV,Jaguar Cosworth,1:14.441,10
13,17,Kimi Räikkönen,RAI,Sauber Petronas,1:14.536,12
14,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:15.020,11
15,23,Luciano Burti,BUR,Prost Acer,1:15.072,11
16,7,Giancarlo Fisichella,FIS,Benetton Renault,1:15.220,11
17,8,Jenson Button,BUT,Benetton Renault,1:15.420,12
18,14,Jos Verstappen,VER,Arrows Asiatech,1:15.707,12
19,22,Jean Alesi,ALE,Prost Acer,1:15.774,11
20,15,Enrique Bernoldi,BER,Arrows Asiatech,1:15.828,12
21,21,Fernando Alonso,ALO,Minardi European,1:16.039,12
22,20,Tarso Marques,MAR,Minardi European,1:16.500,11
