Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
brazil,26 Mar 1989,Nigel Mansell,MAN,Ferrari,61,1:38:58.744
san-marino,23 Apr 1989,Ayrton Senna,SEN,McLaren Honda,58,1:26:51.245
monaco,07 May 1989,Ayrton Senna,SEN,McLaren Honda,77,1:53:33.251
mexico,28 May 1989,Ayrton Senna,SEN,McLaren Honda,69,1:35:21.431
united-states,04 Jun 1989,Alain Prost,PRO,McLaren Honda,75,2:01:33.133
canada,18 Jun 1989,Thierry Boutsen,BOU,Williams Renault,69,2:01:24.073
france,09 Jul 1989,Alain Prost,PRO,McLaren Honda,80,1:38:29.411
great-britain,16 Jul 1989,Alain Prost,PRO,McLaren Honda,64,1:19:22.131
germany,30 Jul 1989,Ayrton Senna,SEN,McLaren Honda,45,1:21:43.302
hungary,13 Aug 1989,Nigel Mansell,MAN,Ferrari,77,1:49:38.650
belgium,27 Aug 1989,Ayrton Senna,SEN,McLaren Honda,44,1:40:54.196
italy,10 Sep 1989,Alain Prost,PRO,McLaren Honda,53,1:19:27.550
portugal,24 Sep 1989,Gerhard Berger,BER,Ferrari,71,1:36:48.546
spain,01 Oct 1989,Ayrton Senna,SEN,McLaren Honda,72,1:47:48.264
japan,22 Oct 1989,Alessandro Nannini,NAN,Benetton Ford,53,1:35:06.277
australia,05 Nov 1989,Thierry Boutsen,BOU,Williams Renault,70,2:00:17.421
