Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,21 Jan 1979,Jacques Laffite,LAF,Ligier Ford,53,1:36:03.210
brazil,04 Feb 1979,Jacques Laffite,LAF,Ligier Ford,40,1:40:09.640
south-africa,03 Mar 1979,Gilles Villeneuve,VIL,Ferrari,78,1:41:49.960
usa-west,08 Apr 1979,Gilles Villeneuve,VIL,Ferrari,80,1:50:25.400
spain,29 Apr 1979,Patrick Depailler,DEP,Ligier Ford,75,1:39:11.840
belgium,13 May 1979,Jody Scheckter,SCH,Ferrari,70,1:39:59.530
monaco,27 May 1979,Jody Scheckter,SCH,Ferrari,76,1:55:22.480
france,01 Jul 1979,Jean-Pierre Jabouille,JAB,Renault,80,1:35:20.420
great-britain,14 Jul 1979,Clay Regazzoni,REG,Williams Ford,68,1:26:11.170
germany,29 Jul 1979,Alan Jones,JON,Williams Ford,45,1:24:48.830
austria,12 Aug 1979,Alan Jones,JON,Williams Ford,54,1:27:38.010
netherlands,26 Aug 1979,Alan Jones,JON,Williams Ford,75,1:41:19.775
italy,09 Sep 1979,Jody Scheckter,SCH,Ferrari,50,1:22:00.220
canada,30 Sep 1979,Alan Jones,JON,Williams Ford,72,1:52:06.892
usa-east,07 Oct 1979,Gilles Villeneuve,VIL,Ferrari,59,1:52:17.734
