Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,01 Jan 1965,Jim Clark,CLA,Lotus Climax,85,2:06:46.000
monaco,30 May 1965,Graham Hill,HIL,BRM,100,2:37:39.600
belgium,13 Jun 1965,Jim Clark,CLA,Lotus Climax,32,2:23:34.800
france,27 Jun 1965,Jim Clark,CLA,Lotus Climax,40,2:14:38.400
great-britain,10 Jul 1965,Jim Clark,CLA,Lotus Climax,80,2:05:25.400
netherlands,18 Jul 1965,Jim Clark,CLA,Lotus Climax,80,2:03:59.100
germany,01 Aug 1965,Jim Clark,CLA,Lotus Climax,15,2:07:52.400
italy,12 Sep 1965,Jackie Stewart,STE,BRM,76,2:04:52.800
united-states,03 Oct 1965,Graham Hill,HIL,BRM,110,2:20:36.100
mexico,24 Oct 1965,Richie Ginther,GIN,Honda,65,2:08:32.100
