Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,11,Richie Ginther,GIN,Honda,65,2:08:32.100,9
2,8,Dan Gurney,GUR,Brabham Climax,65,+2.890s,6
3,6,Mike Spence,SPE,Lotus Climax,65,+60.150s,4
4,16,Jo Siffert,SIF,Brabham BRM,65,+114.420s,3
5,12,Ronnie Bucknum,BUC,Honda,64,+1 lap,2
6,21,Richard Attwood,ATT,Lotus BRM,64,+1 lap,1
7,14,Pedro Rodriguez,ROD,Ferrari,62,+3 laps,0
8,2,Lorenzo Bandini,BAN,Ferrari,62,+3 laps,0
NC,3,Graham Hill,HIL,BRM,56,DNF,0
NC,18,Moises Solana,SOL,Lotus Climax,55,DNF,0
NC,15,Jo Bonnier,BON,Brabham Climax,43,DNF,0
NC,10,Jochen Rindt,RIN,Cooper Climax,39,DNF,0
NC,7,Jack Brabham,BRA,Brabham Climax,38,DNF,0
NC,4,Jackie Stewart,STE,BRM,35,DNF,0
NC,22,Bob Bondurant,BON,Lotus BRM,29,DNF,0
NC,9,Bruce McLaren,MCL,Cooper Climax,25,DNF,0
NC,5,Jim Clark,CLA,Lotus Climax,8,DNF,0
