Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
united-states,11 Mar 1990,Ayrton Senna,SEN,McLaren Honda,72,1:52:32.829
brazil,25 Mar 1990,Alain Prost,PRO,Ferrari,71,1:37:21.258
san-marino,13 May 1990,Riccardo Patrese,PAT,Williams Renault,61,1:30:55.478
monaco,27 May 1990,Ayrton Senna,SEN,McLaren Honda,78,1:52:46.982
canada,10 Jun 1990,Ayrton Senna,SEN,McLaren Honda,70,1:42:56.400
mexico,24 Jun 1990,Alain Prost,PRO,Ferrari,69,1:32:35.783
france,08 Jul 1990,Alain Prost,PRO,Ferrari,80,1:33:29.606
great-britain,15 Jul 1990,Alain Prost,PRO,Ferrari,64,1:18:30.999
germany,29 Jul 1990,Ayrton Senna,SEN,McLaren Honda,45,1:20:47.164
hungary,12 Aug 1990,Thierry Boutsen,BOU,Williams Renault,77,1:49:30.597
belgium,26 Aug 1990,Ayrton Senna,SEN,McLaren Honda,44,1:26:31.997
italy,09 Sep 1990,Ayrton Senna,SEN,McLaren Honda,53,1:17:57.878
portugal,23 Sep 1990,Nigel Mansell,MAN,Ferrari,61,1:22:11.014
spain,30 Sep 1990,Alain Prost,PRO,Ferrari,73,1:48:01.461
japan,21 Oct 1990,Nelson Piquet,PIQ,Benetton Ford,53,1:34:36.824
australia,04 Nov 1990,Nelson Piquet,PIQ,Benetton Ford,81,1:49:44.570
