Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:31.605,1:30.977,1:30.076,18
2,7,Kimi Räikkönen,RAI,Ferrari,1:32.259,1:30.926,1:30.121,14
3,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:31.920,1:30.931,1:30.541,12
4,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:32.416,1:31.061,1:30.595,16
5,77,Valtteri Bottas,BOT,Mercedes,1:32.254,1:30.803,1:30.758,17
6,31,Esteban Ocon,OCO,Force India Mercedes,1:32.527,1:31.651,1:31.478,17
7,2,Stoffel Vandoorne,VAN,McLaren Honda,1:32.838,1:31.848,1:31.582,18
8,27,Nico Hulkenberg,HUL,Renault,1:32.586,1:31.778,1:31.607,17
9,11,Sergio Perez,PER,Force India Mercedes,1:32.768,1:31.484,1:31.658,18
10,14,Fernando Alonso,ALO,McLaren Honda,1:33.049,1:32.010,1:31.704,17
11,19,Felipe Massa,MAS,Williams Mercedes,1:32.267,1:32.034,DNQ,12
12,30,Jolyon Palmer,PAL,Renault,1:32.576,1:32.100,DNQ,14
13,18,Lance Stroll,STR,Williams Mercedes,1:33.000,1:32.307,DNQ,14
14,55,Carlos Sainz,SAI,Toro Rosso,1:32.650,1:32.402,DNQ,14
15,10,Pierre Gasly,GAS,Toro Rosso,1:32.547,1:32.558,DNQ,14
16,8,Romain Grosjean,GRO,Haas Ferrari,1:33.308,DNQ,DNQ,8
17,20,Kevin Magnussen,MAG,Haas Ferrari,1:33.434,DNQ,DNQ,6
18,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:33.483,DNQ,DNQ,9
19,9,Marcus Ericsson,ERI,Sauber Ferrari,1:33.970,DNQ,DNQ,9
NC,5,Sebastian Vettel,VET,Ferrari,DNF,DNQ,DNQ,2
