Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:29.047,1:27.819,1:27.319,18
2,77,Valtteri Bottas,BOT,Mercedes,1:29.332,1:28.543,1:27.651,17
3,5,Sebastian Vettel,VET,Ferrari,1:29.352,1:28.225,1:27.791,19
4,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:29.475,1:28.935,1:28.306,13
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:29.181,1:28.747,1:28.332,12
6,7,Kimi Räikkönen,RAI,Ferrari,1:29.163,1:29.079,1:28.498,15
7,31,Esteban Ocon,OCO,Force India Mercedes,1:30.115,1:29.199,1:29.111,16
8,11,Sergio Perez,PER,Force India Mercedes,1:29.696,1:29.343,1:29.260,17
9,19,Felipe Massa,MAS,Williams Mercedes,1:30.352,1:29.687,1:29.480,16
10,14,Fernando Alonso,ALO,McLaren Honda,1:30.525,1:29.749,1:30.687,13
11,2,Stoffel Vandoorne,VAN,McLaren Honda,1:30.654,1:29.778,DNQ,11
12,27,Nico Hulkenberg,HUL,Renault,1:30.252,1:29.879,DNQ,10
13,20,Kevin Magnussen,MAG,Haas Ferrari,1:30.774,1:29.972,DNQ,11
14,30,Jolyon Palmer,PAL,Renault,1:30.516,1:30.022,DNQ,10
15,55,Carlos Sainz,SAI,Toro Rosso,1:30.565,1:30.413,DNQ,11
16,8,Romain Grosjean,GRO,Haas Ferrari,1:30.849,DNQ,DNQ,5
17,10,Pierre Gasly,GAS,Toro Rosso,1:31.317,DNQ,DNQ,7
18,18,Lance Stroll,STR,Williams Mercedes,1:31.409,DNQ,DNQ,6
19,9,Marcus Ericsson,ERI,Sauber Ferrari,1:31.597,DNQ,DNQ,7
20,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:31.885,DNQ,DNQ,7
