Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Sebastian Vettel,VET,Ferrari,70,1:39:46.713,25
2,7,Kimi Räikkönen,RAI,Ferrari,70,+0.908s,18
3,77,Valtteri Bottas,BOT,Mercedes,70,+12.462s,15
4,44,Lewis Hamilton,HAM,Mercedes,70,+12.885s,12
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,70,+13.276s,10
6,14,Fernando Alonso,ALO,McLaren Honda,70,+71.223s,8
7,55,Carlos Sainz,SAI,Toro Rosso,69,+1 lap,6
8,11,Sergio Perez,PER,Force India Mercedes,69,+1 lap,4
9,31,Esteban Ocon,OCO,Force India Mercedes,69,+1 lap,2
10,2,Stoffel Vandoorne,VAN,McLaren Honda,69,+1 lap,1
11,26,Daniil Kvyat,KVY,Toro Rosso,69,+1 lap,0
12,30,Jolyon Palmer,PAL,Renault,69,+1 lap,0
13,20,Kevin Magnussen,MAG,Haas Ferrari,69,+1 lap,0
14,18,Lance Stroll,STR,Williams Mercedes,69,+1 lap,0
15,94,Pascal Wehrlein,WEH,Sauber Ferrari,68,+2 laps,0
16,9,Marcus Ericsson,ERI,Sauber Ferrari,68,+2 laps,0
17,27,Nico Hulkenberg,HUL,Renault,67,DNF,0
NC,40,Paul di Resta,DIR,Williams Mercedes,60,DNF,0
NC,8,Romain Grosjean,GRO,Haas Ferrari,20,DNF,0
NC,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,0,DNF,0
