Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,26 Mar 2017,Sebastian Vettel,VET,Ferrari,57,1:24:11.672
china,09 Apr 2017,Lewis Hamilton,HAM,Mercedes,56,1:37:36.158
bahrain,16 Apr 2017,Sebastian Vettel,VET,Ferrari,57,1:33:53.374
russia,30 Apr 2017,Valtteri Bottas,BOT,Mercedes,52,1:28:08.743
spain,14 May 2017,Lewis Hamilton,HAM,Mercedes,66,1:35:56.497
monaco,28 May 2017,Sebastian Vettel,VET,Ferrari,78,1:44:44.340
canada,11 Jun 2017,Lewis Hamilton,HAM,Mercedes,70,1:33:05.154
azerbaijan,25 Jun 2017,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,51,2:03:55.573
austria,09 Jul 2017,Valtteri Bottas,BOT,Mercedes,71,1:21:48.523
great-britain,16 Jul 2017,Lewis Hamilton,HAM,Mercedes,51,1:21:27.430
hungary,30 Jul 2017,Sebastian Vettel,VET,Ferrari,70,1:39:46.713
belgium,27 Aug 2017,Lewis Hamilton,HAM,Mercedes,44,1:24:42.820
italy,03 Sep 2017,Lewis Hamilton,HAM,Mercedes,53,1:15:32.312
singapore,17 Sep 2017,Lewis Hamilton,HAM,Mercedes,58,2:03:23.544
malaysia,01 Oct 2017,Max Verstappen,VER,Red Bull Racing TAG Heuer,56,1:30:01.290
japan,08 Oct 2017,Lewis Hamilton,HAM,Mercedes,53,1:27:31.194
united-states,22 Oct 2017,Lewis Hamilton,HAM,Mercedes,56,1:33:50.991
mexico,29 Oct 2017,Max Verstappen,VER,Red Bull Racing TAG Heuer,71,1:36:26.552
brazil,12 Nov 2017,Sebastian Vettel,VET,Ferrari,71,1:31:26.262
abu-dhabi,26 Nov 2017,Valtteri Bottas,BOT,Mercedes,55,1:34:14.062
