Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,51,2:03:55.573,25
2,77,Valtteri Bottas,BOT,Mercedes,51,+3.904s,18
3,18,Lance Stroll,STR,Williams Mercedes,51,+4.009s,15
4,5,Sebastian Vettel,VET,Ferrari,51,+5.976s,12
5,44,Lewis Hamilton,HAM,Mercedes,51,+6.188s,10
6,31,Esteban Ocon,OCO,Force India Mercedes,51,+30.298s,8
7,20,Kevin Magnussen,MAG,Haas Ferrari,51,+41.753s,6
8,55,Carlos Sainz,SAI,Toro Rosso,51,+49.400s,4
9,14,Fernando Alonso,ALO,McLaren Honda,51,+59.551s,2
10,94,Pascal Wehrlein,WEH,Sauber Ferrari,51,+89.093s,1
11,9,Marcus Ericsson,ERI,Sauber Ferrari,51,+91.794s,0
12,2,Stoffel Vandoorne,VAN,McLaren Honda,51,+92.160s,0
13,8,Romain Grosjean,GRO,Haas Ferrari,50,+1 lap,0
14,7,Kimi Räikkönen,RAI,Ferrari,46,DNF,0
NC,11,Sergio Perez,PER,Force India Mercedes,39,DNF,0
NC,19,Felipe Massa,MAS,Williams Mercedes,25,DNF,0
NC,27,Nico Hulkenberg,HUL,Renault,24,DNF,0
NC,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,12,DNF,0
NC,26,Daniil Kvyat,KVY,Toro Rosso,9,DNF,0
NC,30,Jolyon Palmer,PAL,Renault,7,DNF,0
