Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Nigel Mansell,MAN,Williams Renault,72,1:36:45.320,10
2,6,Riccardo Patrese,PAT,Williams Renault,72,+24.360s,6
3,1,Ayrton Senna,SEN,McLaren Honda,72,+34.675s,4
4,19,Michael Schumacher,MSC,Benetton Ford,72,+47.863s,3
5,2,Gerhard Berger,BER,McLaren Honda,72,+73.634s,2
6,12,Johnny Herbert,HER,Lotus Ford,71,+1 lap,1
7,26,Erik Comas,COM,Ligier Renault,71,+1 lap,0
8,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,70,+2 laps,0
9,11,Mika Hakkinen,HAK,Lotus Ford,70,+2 laps,0
10,9,Michele Alboreto,ALB,Footwork Mugen Honda,70,+2 laps,0
11,33,Mauricio Gugelmin,GUG,Jordan Yamaha,70,+2 laps,0
12,30,Ukyo Katayama,KAT,Venturi Lamborghini,68,+4 laps,0
13,7,Eric van de Poele,VAN,Brabham Judd,68,+4 laps,0
NC,3,Olivier Grouillard,GRO,Tyrrell Ilmor,62,DNF,0
NC,25,Thierry Boutsen,BOU,Ligier Renault,60,DNF,0
NC,22,Pierluigi Martini,MAR,Dallara Ferrari,56,DNF,0
NC,24,Gianni Morbidelli,MOR,Minardi Lamborghini,55,DNF,0
NC,21,Jyrki Jarvilehto,JAR,Dallara Ferrari,46,DNF,0
NC,23,Christian Fittipaldi,FIT,Minardi Lamborghini,43,DNF,0
NC,4,Andrea de Cesaris,DEC,Tyrrell Ilmor,41,DNF,0
NC,27,Jean Alesi,ALE,Ferrari,40,DNF,0
NC,28,Ivan Capelli,CAP,Ferrari,28,DNF,0
NC,15,Gabriele Tarquini,TAR,Fondmetal Ford,23,DNF,0
NC,16,Karl Wendlinger,WEN,March Ilmor,13,DNF,0
NC,29,Bertrand Gachot,GAC,Venturi Lamborghini,8,DNF,0
NC,20,Martin Brundle,BRU,Benetton Ford,1,DNF,0
