Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,4,Tony Brooks,BRO,Ferrari,60,2:09:31.600,9
2,6,Dan Gurney,GUR,Ferrari,60,+1.900s,6
3,5,Phil Hill,HIL,Ferrari,60,+64.800s,4
4,8,Maurice Trintignant,TRI,Cooper Climax,59,+1 lap,3
5,9,Jo Bonnier,BON,BRM,58,+2 laps,2
6,18,Ian Burgess,BUR,Cooper Maserati,56,+4 laps,0
7,10,Harry Schell,SCH,BRM,49,+11 laps,0
NC,2,Bruce McLaren,MCL,Cooper Climax,37,DNF,0
NC,11,Hans Herrmann,HER,BRM,35,DNF,0
NC,3,Masten Gregory,GRE,Cooper Climax,23,DNF,0
NC,1,Jack Brabham,BRA,Cooper Climax,15,DNF,0
NC,16,Graham Hill,HIL,Lotus Climax,10,DNF,0
NC,15,Innes Ireland,IRE,Lotus Climax,7,DNF,0
NC,17,Cliff Allison,ALL,Ferrari,2,DNF,0
NC,7,Stirling Moss,MOS,Cooper Climax,1,DNF,0
