Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,9,Bruce McLaren,MCL,Cooper Climax,42,2:12:35.700,8
2,6,Maurice Trintignant,TRI,Cooper Climax,42,+0.600s,7
3,2,Tony Brooks,BRO,Ferrari,42,+180.900s,4
4,8,Jack Brabham,BRA,Cooper Climax,42,+297.300s,3
5,10,Innes Ireland,IRE,Lotus Climax,39,+3 laps,2
6,4,Wolfgang von Trips,VON,Ferrari,38,+4 laps,0
7,17,Harry Blanchard,BLA,Porsche,38,+4 laps,0
NC,12,Roy Salvadori,SAL,Cooper Maserati,23,DNF,0
NC,3,Cliff Allison,ALL,Ferrari,23,DNF,0
NC,1,Rodger Ward,WAR,Kurtis Kraft Offenhauser,20,DNF,0
NC,14,Alessandro de Tomaso,DET,Cooper OSCA,13,DNF,0
NC,5,Phil Hill,HIL,Ferrari,8,DNF,0
NC,15,Fritz d'Orey,D'O,Tec-Mec Maserati,6,DNF,0
NC,19,Harry Schell,SCH,Cooper Climax,5,DNF,0
NC,16,George Constantine,CON,Cooper Climax,5,DNF,0
NC,7,Stirling Moss,MOS,Cooper Climax,5,DNF,0
NC,11,Alan Stacey,STA,Lotus Climax,1,DNF,0
NC,18,Bob Said,SAI,Connaught Alta,0,DNF,0
