Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,2,David Coulthard,COU,McLaren Mercedes,72,1:38:05.538,10
2,1,Mika Hakkinen,HAK,McLaren Mercedes,72,+14.748s,6
3,4,Rubens Barrichello,BAR,Ferrari,72,+32.409s,4
4,22,Jacques Villeneuve,VIL,BAR Honda,72,+61.322s,3
5,9,Ralf Schumacher,RSC,Williams BMW,72,+63.981s,2
6,6,Jarno Trulli,TRU,Jordan Mugen Honda,72,+75.604s,1
7,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,71,+1 lap,0
8,10,Jenson Button,BUT,Williams BMW,71,+1 lap,0
9,11,Giancarlo Fisichella,FIS,Benetton Playlife,71,+1 lap,0
10,17,Mika Salo,SAL,Sauber Petronas,71,+1 lap,0
11,16,Pedro Diniz,DIN,Sauber Petronas,71,+1 lap,0
12,15,Nick Heidfeld,HEI,Prost Peugeot,71,+1 lap,0
13,7,Eddie Irvine,IRV,Jaguar Cosworth,70,+2 laps,0
14,14,Jean Alesi,ALE,Prost Peugeot,70,+2 laps,0
15,20,Marc Gene,GEN,Minardi Fondmetal,70,+2 laps,0
NC,3,Michael Schumacher,MSC,Ferrari,58,DNF,0
NC,18,Pedro de la Rosa,DLR,Arrows Supertec,45,DNF,0
NC,12,Alexander Wurz,WUR,Benetton Playlife,34,DNF,0
NC,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,31,DNF,0
NC,19,Jos Verstappen,VER,Arrows Supertec,25,DNF,0
NC,8,Johnny Herbert,HER,Jaguar Cosworth,20,DNF,0
NC,23,Ricardo Zonta,ZON,BAR Honda,16,DNF,0
