Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:08.464,1:07.795,1:07.281,17
2,5,Sebastian Vettel,VET,Ferrari,1:08.452,1:07.776,1:07.374,17
3,77,Valtteri Bottas,BOT,Mercedes,1:08.492,1:07.727,1:07.441,17
4,7,Kimi Räikkönen,RAI,Ferrari,1:08.452,1:08.028,1:07.456,17
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:08.205,1:08.017,1:07.778,16
6,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:08.544,1:08.055,1:07.780,16
7,9,Marcus Ericsson,ERI,Sauber Ferrari,1:08.754,1:08.579,1:08.296,19
8,16,Charles Leclerc,LEC,Sauber Ferrari,1:08.667,1:08.335,1:08.492,23
9,8,Romain Grosjean,GRO,Haas Ferrari,1:08.735,1:08.239,1:08.517,17
10,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:09.046,1:08.616,1:09.029,24
11,20,Kevin Magnussen,MAG,Haas Ferrari,1:08.474,1:08.659,DNQ,12
12,11,Sergio Perez,PER,Force India Mercedes,1:09.217,1:08.741,DNQ,15
13,31,Esteban Ocon,OCO,Force India Mercedes,1:09.264,1:08.770,DNQ,18
14,27,Nico Hulkenberg,HUL,Renault,1:09.009,1:08.834,DNQ,15
15,35,Sergey Sirotkin,SIR,Williams Mercedes,1:09.259,1:10.381,DNQ,11
16,55,Carlos Sainz,SAI,Renault,1:09.269,DNQ,DNQ,9
17,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:09.280,DNQ,DNQ,10
18,14,Fernando Alonso,ALO,McLaren Renault,1:09.402,DNQ,DNQ,9
19,18,Lance Stroll,STR,Williams Mercedes,1:09.441,DNQ,DNQ,9
20,2,Stoffel Vandoorne,VAN,McLaren Renault,1:09.601,DNQ,DNQ,9
