Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,5,Sebastian Vettel,VET,Ferrari,1:11.710,1:11.524,1:10.764,18
2,77,Valtteri Bottas,BOT,Mercedes,1:11.950,1:11.514,1:10.857,20
3,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:12.008,1:11.472,1:10.937,16
4,44,Lewis Hamilton,HAM,Mercedes,1:11.835,1:11.740,1:10.996,21
5,7,Kimi Räikkönen,RAI,Ferrari,1:11.725,1:11.620,1:11.095,20
6,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:12.459,1:11.434,1:11.116,18
7,27,Nico Hulkenberg,HUL,Renault,1:12.795,1:11.916,1:11.973,15
8,31,Esteban Ocon,OCO,Force India Mercedes,1:12.577,1:12.141,1:12.084,14
9,55,Carlos Sainz,SAI,Renault,1:12.689,1:12.097,1:12.168,15
10,11,Sergio Perez,PER,Force India Mercedes,1:12.702,1:12.395,1:12.671,13
11,20,Kevin Magnussen,MAG,Haas Ferrari,1:12.680,1:12.606,DNQ,22
12,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:12.587,1:12.635,DNQ,17
13,16,Charles Leclerc,LEC,Sauber Ferrari,1:12.945,1:12.661,DNQ,22
14,14,Fernando Alonso,ALO,McLaren Renault,1:12.979,1:12.856,DNQ,14
15,2,Stoffel Vandoorne,VAN,McLaren Renault,1:12.998,1:12.865,DNQ,14
16,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:13.047,DNQ,DNQ,8
17,18,Lance Stroll,STR,Williams Mercedes,1:13.590,DNQ,DNQ,8
18,35,Sergey Sirotkin,SIR,Williams Mercedes,1:13.643,DNQ,DNQ,10
19,9,Marcus Ericsson,ERI,Sauber Ferrari,1:14.593,DNQ,DNQ,6
