Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:39.403,1:37.344,1:36.015,17
2,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:38.751,1:37.214,1:36.334,14
3,5,Sebastian Vettel,VET,Ferrari,1:38.218,1:37.876,1:36.628,17
4,77,Valtteri Bottas,BOT,Mercedes,1:39.291,1:37.254,1:36.702,20
5,7,Kimi Räikkönen,RAI,Ferrari,1:38.534,1:37.194,1:36.794,17
6,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:38.153,1:37.406,1:36.996,12
7,11,Sergio Perez,PER,Force India Mercedes,1:38.814,1:38.342,1:37.985,19
8,8,Romain Grosjean,GRO,Haas Ferrari,1:38.685,1:38.367,1:38.320,15
9,31,Esteban Ocon,OCO,Force India Mercedes,1:38.912,1:38.534,1:38.365,20
10,27,Nico Hulkenberg,HUL,Renault,1:38.932,1:38.450,1:38.588,18
11,14,Fernando Alonso,ALO,McLaren Renault,1:39.022,1:38.641,DNQ,12
12,55,Carlos Sainz,SAI,Renault,1:39.103,1:38.716,DNQ,12
13,16,Charles Leclerc,LEC,Sauber Ferrari,1:39.206,1:38.747,DNQ,14
14,9,Marcus Ericsson,ERI,Sauber Ferrari,1:39.366,1:39.453,DNQ,14
15,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:39.614,1:39.691,DNQ,13
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:39.644,DNQ,DNQ,6
17,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:39.809,DNQ,DNQ,8
18,2,Stoffel Vandoorne,VAN,McLaren Renault,1:39.864,DNQ,DNQ,8
19,35,Sergey Sirotkin,SIR,Williams Mercedes,1:41.263,DNQ,DNQ,8
20,18,Lance Stroll,STR,Williams Mercedes,1:41.334,DNQ,DNQ,6
