Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:34.130,1:33.480,1:32.237,20
2,5,Sebastian Vettel,VET,Ferrari,1:34.569,1:33.079,1:32.298,18
3,7,Kimi Räikkönen,RAI,Ferrari,1:34.703,1:32.884,1:32.307,15
4,77,Valtteri Bottas,BOT,Mercedes,1:34.518,1:33.702,1:32.616,17
5,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:34.755,1:34.185,1:33.494,14
6,31,Esteban Ocon,OCO,Force India Mercedes,1:34.876,1:34.522,1:34.145,18
7,27,Nico Hulkenberg,HUL,Renault,1:34.932,1:34.564,1:34.215,18
8,8,Romain Grosjean,GRO,Haas Ferrari,1:34.892,1:34.419,1:34.250,17
9,16,Charles Leclerc,LEC,Sauber Ferrari,1:35.069,1:34.255,1:34.420,17
10,11,Sergio Perez,PER,Force India Mercedes,1:35.193,1:34.525,1:34.594,17
11,55,Carlos Sainz,SAI,Renault,1:34.891,1:34.566,DNQ,12
12,20,Kevin Magnussen,MAG,Haas Ferrari,1:34.972,1:34.732,DNQ,12
13,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:34.850,DNS,DNQ,13
14,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:35.206,DNS,DNQ,13
15,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:34.766,DNQ,DNQ,4
16,14,Fernando Alonso,ALO,McLaren Renault,1:35.294,DNQ,DNQ,6
17,35,Sergey Sirotkin,SIR,Williams Mercedes,1:35.362,DNQ,DNQ,6
18,18,Lance Stroll,STR,Williams Mercedes,1:35.480,DNQ,DNQ,8
19,9,Marcus Ericsson,ERI,Sauber Ferrari,1:35.536,DNQ,DNQ,8
20,2,Stoffel Vandoorne,VAN,McLaren Renault,1:35.735,DNQ,DNQ,6
