Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:22.824,1:22.051,1:21.164,20
2,7,Kimi Räikkönen,RAI,Ferrari,1:23.096,1:22.507,1:21.828,17
3,5,Sebastian Vettel,VET,Ferrari,1:23.348,1:21.944,1:21.838,20
4,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:23.483,1:22.416,1:21.879,18
5,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:23.494,1:22.897,1:22.152,17
6,20,Kevin Magnussen,MAG,Haas Ferrari,1:23.909,1:23.300,1:23.187,17
7,8,Romain Grosjean,GRO,Haas Ferrari,1:23.671,1:23.468,1:23.339,17
8,27,Nico Hulkenberg,HUL,Renault,1:23.782,1:23.544,1:23.532,16
9,55,Carlos Sainz,SAI,Renault,1:23.529,1:23.061,1:23.577,17
10,77,Valtteri Bottas,BOT,Mercedes,1:23.686,1:22.089,DNF,16
11,14,Fernando Alonso,ALO,McLaren Renault,1:23.597,1:23.692,DNQ,14
12,2,Stoffel Vandoorne,VAN,McLaren Renault,1:24.073,1:23.853,DNQ,14
13,11,Sergio Perez,PER,Force India Mercedes,1:24.344,1:24.005,DNQ,14
14,18,Lance Stroll,STR,Williams Mercedes,1:24.464,1:24.230,DNQ,13
15,31,Esteban Ocon,OCO,Force India Mercedes,1:24.503,1:24.786,DNQ,16
16,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:24.532,DNQ,DNQ,8
17,9,Marcus Ericsson,ERI,Sauber Ferrari,1:24.556,DNQ,DNQ,9
18,16,Charles Leclerc,LEC,Sauber Ferrari,1:24.636,DNQ,DNQ,9
19,35,Sergey Sirotkin,SIR,Williams Mercedes,1:24.922,DNQ,DNQ,8
20,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:25.295,DNQ,DNQ,7
