Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Benetton Renault,53,1:36:52.930,10
2,8,Mika Hakkinen,HAK,McLaren Mercedes,53,+19.337s,6
3,2,Johnny Herbert,HER,Benetton Renault,53,+83.804s,4
4,15,Eddie Irvine,IRV,Jordan Peugeot,53,+102.136s,3
5,26,Olivier Panis,PAN,Ligier Mugen Honda,52,+1 lap,2
6,4,Mika Salo,SAL,Tyrrell Yamaha,52,+1 lap,1
7,7,Mark Blundell,BLU,McLaren Mercedes,52,+1 lap,0
8,30,Heinz-Harald Frentzen,FRE,Sauber Ford,52,+1 lap,0
9,24,Luca Badoer,BAD,Minardi Ford,51,+2 laps,0
10,29,Karl Wendlinger,WEN,Sauber Ford,51,+2 laps,0
11,23,Pedro Lamy,LAM,Minardi Ford,51,+2 laps,0
12,10,Taki Inoue,INO,Footwork Hart,51,+2 laps,0
NC,5,Damon Hill,HIL,Williams Renault,40,DNF,0
NC,6,David Coulthard,COU,Williams Renault,39,DNF,0
NC,21,Pedro Diniz,DIN,Forti Ford,32,DNF,0
NC,27,Jean Alesi,ALE,Ferrari,24,DNF,0
NC,17,Andrea Montermini,MON,Pacific Ilmor,23,DNF,0
NC,28,Gerhard Berger,BER,Ferrari,16,DNF,0
NC,14,Rubens Barrichello,BAR,Jordan Peugeot,15,DNF,0
NC,3,Ukyo Katayama,KAT,Tyrrell Yamaha,12,DNF,0
NC,16,Bertrand Gachot,GAC,Pacific Ilmor,6,DNF,0
NC,22,Roberto Moreno,MOR,Forti Ford,1,DNF,0
NC,9,Gianni Morbidelli,MOR,Footwork Hart,0,DNF,0
