Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
brazil,26 Mar 1995,Michael Schumacher,MSC,Benetton Renault,71,1:38:34.154
argentina,09 Apr 1995,Damon Hill,HIL,Williams Renault,71,1:51:39.531
san-marino,30 Apr 1995,Damon Hill,HIL,Williams Renault,63,1:41:42.552
spain,14 May 1995,Michael Schumacher,MSC,Benetton Renault,65,1:34:20.507
monaco,28 May 1995,Michael Schumacher,MSC,Benetton Renault,78,1:53:11.258
canada,11 Jun 1995,Jean Alesi,ALE,Ferrari,69,1:46:31.333
france,02 Jul 1995,Michael Schumacher,MSC,Benetton Renault,72,1:38:28.429
great-britain,16 Jul 1995,Johnny Herbert,HER,Benetton Renault,61,1:34:35.093
germany,30 Jul 1995,Michael Schumacher,MSC,Benetton Renault,45,1:22:56.043
hungary,13 Aug 1995,Damon Hill,HIL,Williams Renault,77,1:46:25.721
belgium,27 Aug 1995,Michael Schumacher,MSC,Benetton Renault,44,1:36:47.875
italy,10 Sep 1995,Johnny Herbert,HER,Benetton Renault,53,1:18:27.916
portugal,24 Sep 1995,David Coulthard,COU,Williams Renault,71,1:41:52.145
europe,01 Oct 1995,Michael Schumacher,MSC,Benetton Renault,67,1:39:59.044
pacific,22 Oct 1995,Michael Schumacher,MSC,Benetton Renault,83,1:48:49.972
japan,29 Oct 1995,Michael Schumacher,MSC,Benetton Renault,53,1:36:52.930
australia,12 Nov 1995,Damon Hill,HIL,Williams Renault,81,1:49:15.946
