Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:24.714,12
2,3,Michael Schumacher,MSC,Ferrari,1:24.805,11
3,2,David Coulthard,COU,McLaren Mercedes,1:25.014,12
4,4,Rubens Barrichello,BAR,Ferrari,1:25.242,12
5,9,Ralf Schumacher,RSC,Williams BMW,1:25.871,9
6,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:25.892,12
7,7,Eddie Irvine,IRV,Jaguar Cosworth,1:25.929,12
8,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:26.002,12
9,22,Jacques Villeneuve,VIL,BAR Honda,1:26.124,12
10,16,Pedro Diniz,DIN,Sauber Petronas,1:26.238,12
11,12,Alexander Wurz,WUR,Benetton Playlife,1:26.281,12
12,17,Mika Salo,SAL,Sauber Petronas,1:26.336,12
13,18,Pedro de la Rosa,DLR,Arrows Supertec,1:26.349,12
14,23,Ricardo Zonta,ZON,BAR Honda,1:26.814,11
15,14,Jean Alesi,ALE,Prost Peugeot,1:26.824,12
16,19,Jos Verstappen,VER,Arrows Supertec,1:26.845,11
17,8,Johnny Herbert,HER,Jaguar Cosworth,1:27.051,11
18,10,Jenson Button,BUT,Williams BMW,1:27.135,11
19,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:27.253,11
20,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:28.161,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:28.333,11
22,15,Nick Heidfeld,HEI,Prost Peugeot,1:28.361,8
