Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:23.770,10
2,4,Rubens Barrichello,BAR,Ferrari,1:23.797,12
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:23.967,12
4,22,Jacques Villeneuve,VIL,BAR Honda,1:24.238,12
5,2,David Coulthard,COU,McLaren Mercedes,1:24.290,12
6,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:24.477,12
7,9,Ralf Schumacher,RSC,Williams BMW,1:24.516,10
8,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:24.786,12
9,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:24.789,12
10,18,Pedro de la Rosa,DLR,Arrows Supertec,1:24.814,12
11,19,Jos Verstappen,VER,Arrows Supertec,1:24.820,11
12,10,Jenson Button,BUT,Williams BMW,1:24.907,12
13,12,Alexander Wurz,WUR,Benetton Playlife,1:25.150,10
14,7,Eddie Irvine,IRV,Jaguar Cosworth,1:25.251,12
15,17,Mika Salo,SAL,Sauber Petronas,1:25.322,11
16,16,Pedro Diniz,DIN,Sauber Petronas,1:25.324,11
17,23,Ricardo Zonta,ZON,BAR Honda,1:25.337,11
18,8,Johnny Herbert,HER,Jaguar Cosworth,1:25.388,12
19,14,Jean Alesi,ALE,Prost Peugeot,1:25.558,12
20,15,Nick Heidfeld,HEI,Prost Peugeot,1:25.625,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:26.336,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:27.360,12
