Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:37.397,8
2,1,Mika Hakkinen,HAK,McLaren Mercedes,1:37.860,11
3,2,David Coulthard,COU,McLaren Mercedes,1:37.889,11
4,4,Rubens Barrichello,BAR,Ferrari,1:37.896,11
5,12,Alexander Wurz,WUR,Benetton Playlife,1:38.644,12
6,22,Jacques Villeneuve,VIL,BAR Honda,1:38.653,11
7,7,Eddie Irvine,IRV,Jaguar Cosworth,1:38.696,12
8,9,Ralf Schumacher,RSC,Williams BMW,1:38.739,12
9,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:38.909,11
10,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:38.988,11
11,23,Ricardo Zonta,ZON,BAR Honda,1:39.158,11
12,8,Johnny Herbert,HER,Jaguar Cosworth,1:39.331,12
13,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:39.387,12
14,18,Pedro de la Rosa,DLR,Arrows Supertec,1:39.443,12
15,19,Jos Verstappen,VER,Arrows Supertec,1:39.489,9
16,10,Jenson Button,BUT,Williams BMW,1:39.563,10
17,17,Mika Salo,SAL,Sauber Petronas,1:39.591,12
18,14,Jean Alesi,ALE,Prost Peugeot,1:40.065,11
19,15,Nick Heidfeld,HEI,Prost Peugeot,1:40.148,11
20,16,Pedro Diniz,DIN,Sauber Petronas,1:40.521,11
21,20,Marc Gene,GEN,Minardi Fondmetal,1:40.662,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:42.078,12
