Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,David Coulthard,COU,McLaren Mercedes,1:45.697,6
2,3,Michael Schumacher,MSC,Ferrari,1:47.063,10
3,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:47.130,8
4,1,Mika Hakkinen,HAK,McLaren Mercedes,1:47.162,9
5,18,Pedro de la Rosa,DLR,Arrows Supertec,1:47.786,7
6,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:47.833,7
7,12,Alexander Wurz,WUR,Benetton Playlife,1:48.037,7
8,8,Johnny Herbert,HER,Jaguar Cosworth,1:48.078,6
9,22,Jacques Villeneuve,VIL,BAR Honda,1:48.121,7
10,7,Eddie Irvine,IRV,Jaguar Cosworth,1:48.305,9
11,19,Jos Verstappen,VER,Arrows Supertec,1:48.321,7
12,23,Ricardo Zonta,ZON,BAR Honda,1:48.665,10
13,15,Nick Heidfeld,HEI,Prost Peugeot,1:48.690,11
14,9,Ralf Schumacher,RSC,Williams BMW,1:48.841,9
15,17,Mika Salo,SAL,Sauber Petronas,1:49.204,8
16,10,Jenson Button,BUT,Williams BMW,1:49.215,8
17,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:49.280,11
18,4,Rubens Barrichello,BAR,Ferrari,1:49.544,10
19,16,Pedro Diniz,DIN,Sauber Petronas,1:49.936,10
20,14,Jean Alesi,ALE,Prost Peugeot,1:50.289,9
21,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:51.611,9
22,20,Marc Gene,GEN,Minardi Fondmetal,1:53.094,7
