Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:20.974,10
2,1,Mika Hakkinen,HAK,McLaren Mercedes,1:21.052,11
3,4,Rubens Barrichello,BAR,Ferrari,1:21.416,11
4,2,David Coulthard,COU,McLaren Mercedes,1:21.422,11
5,9,Ralf Schumacher,RSC,Williams BMW,1:21.605,12
6,22,Jacques Villeneuve,VIL,BAR Honda,1:21.963,12
7,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:22.006,12
8,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:22.135,12
9,18,Pedro de la Rosa,DLR,Arrows Supertec,1:22.185,12
10,7,Eddie Irvine,IRV,Jaguar Cosworth,1:22.370,11
11,10,Jenson Button,BUT,Williams BMW,1:22.385,12
12,19,Jos Verstappen,VER,Arrows Supertec,1:22.421,12
13,17,Mika Salo,SAL,Sauber Petronas,1:22.443,12
14,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:22.569,11
15,8,Johnny Herbert,HER,Jaguar Cosworth,1:22.781,12
16,16,Pedro Diniz,DIN,Sauber Petronas,1:22.841,12
17,23,Ricardo Zonta,ZON,BAR Honda,1:22.882,12
18,14,Jean Alesi,ALE,Prost Peugeot,1:22.894,6
19,12,Alexander Wurz,WUR,Benetton Playlife,1:23.010,12
20,15,Nick Heidfeld,HEI,Prost Peugeot,1:23.033,10
21,20,Marc Gene,GEN,Minardi Fondmetal,1:23.486,11
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:24.257,12
