Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:35.825,9
2,1,Mika Hakkinen,HAK,McLaren Mercedes,1:35.834,12
3,2,David Coulthard,COU,McLaren Mercedes,1:36.236,12
4,4,Rubens Barrichello,BAR,Ferrari,1:36.330,10
5,10,Jenson Button,BUT,Williams BMW,1:36.628,11
6,9,Ralf Schumacher,RSC,Williams BMW,1:36.788,11
7,7,Eddie Irvine,IRV,Jaguar Cosworth,1:36.899,11
8,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:37.243,12
9,22,Jacques Villeneuve,VIL,BAR Honda,1:37.267,11
10,8,Johnny Herbert,HER,Jaguar Cosworth,1:37.329,12
11,12,Alexander Wurz,WUR,Benetton Playlife,1:37.348,12
12,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:37.479,12
13,18,Pedro de la Rosa,DLR,Arrows Supertec,1:37.652,11
14,19,Jos Verstappen,VER,Arrows Supertec,1:37.674,11
15,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:37.679,11
16,15,Nick Heidfeld,HEI,Prost Peugeot,1:38.141,11
17,14,Jean Alesi,ALE,Prost Peugeot,1:38.209,12
18,23,Ricardo Zonta,ZON,BAR Honda,1:38.269,9
19,17,Mika Salo,SAL,Sauber Petronas,1:38.490,6
20,16,Pedro Diniz,DIN,Sauber Petronas,1:38.576,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:39.972,9
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:40.462,12
